,0,1,2,3
42,INHA,ACVR1_ACVR2B,nan,Secreted Signaling
43,BMP7,ACVR1_ACVR2B,nan,Secreted Signaling
44,BMP5,ACVR1_ACVR2B,nan,Secreted Signaling
45,BMP6,ACVR1_ACVR2B,nan,Secreted Signaling
46,BMP8A,ACVR1_ACVR2B,nan,Secreted Signaling
47,INHBA_INHBB,ACVR1B_ACVR2A,nan,Secreted Signaling
48,INHBA_INHA,ACVR1B_ACVR2A,nan,Secreted Signaling
49,INHBB_INHA,ACVR1B_ACVR2A,nan,Secreted Signaling
50,GDF11,ACVR1B_ACVR2A,nan,Secreted Signaling
51,INHA,ACVR1B_ACVR2A,nan,Secreted Signaling
52,INHBA_INHBB,ACVR1B_ACVR2B,nan,Secreted Signaling
53,INHBA_INHA,ACVR1B_ACVR2B,nan,Secreted Signaling
54,INHBB_INHA,ACVR1B_ACVR2B,nan,Secreted Signaling
55,MSTN,ACVR1B_ACVR2B,nan,Secreted Signaling
56,GDF11,ACVR1B_ACVR2B,nan,Secreted Signaling
57,INHA,ACVR1B_ACVR2B,nan,Secreted Signaling
58,GDF1,ACVR1B_ACVR2B,nan,Secreted Signaling
59,GDF10,ACVR1B_ACVR2B,nan,Secreted Signaling
60,GDF3,ACVR1B_ACVR2B,nan,Secreted Signaling
61,INHBA_INHBB,ACVR1C_ACVR2A,nan,Secreted Signaling
62,INHBA_INHA,ACVR1C_ACVR2A,nan,Secreted Signaling
63,INHBB_INHA,ACVR1C_ACVR2A,nan,Secreted Signaling
64,INHA,ACVR1C_ACVR2A,nan,Secreted Signaling
65,INHBA_INHBB,ACVR1C_ACVR2B,nan,Secreted Signaling
66,INHBA_INHA,ACVR1C_ACVR2B,nan,Secreted Signaling
67,INHBB_INHA,ACVR1C_ACVR2B,nan,Secreted Signaling
68,INHA,ACVR1C_ACVR2B,nan,Secreted Signaling
69,ADIPOQ,ADIPOR1_ADIPOR2,nan,Secreted Signaling
70,IAPP,CALCR_RAMP1,nan,Secreted Signaling
71,IAPP,CALCR_RAMP2,nan,Secreted Signaling
72,IAPP,CALCR_RAMP3,nan,Secreted Signaling
73,CHAT,CHRNA2_CHRNB3,nan,Secreted Signaling
74,CHAT,CHRNA3_CHRNB2_CHRNA5,nan,Secreted Signaling
75,CHAT,CHRNA3_CHRNB4_CHRNA5,nan,Secreted Signaling
76,CHAT,CHRNA4_CHRNB2,nan,Secreted Signaling
77,CHAT,CHRNA6_CHRNA4_CHRNB3,nan,Secreted Signaling
78,CHAT,CHRNA6_CHRNB3_CHRNB4,nan,Secreted Signaling
79,CHAT,CHRNA1,nan,Secreted Signaling
80,CHAT,CHRM2,nan,Secreted Signaling
81,CHAT,CHRM4,nan,Secreted Signaling
82,CHAT,CHRM5,nan,Secreted Signaling
83,CHAT,CHRM1,nan,Secreted Signaling
84,CHAT,CHRM3,nan,Secreted Signaling
85,CHAT,CHRNA7,nan,Secreted Signaling
86,CYP11B2,NR3C1,nan,Secreted Signaling
87,CYP11B2,NR3C2,nan,Secreted Signaling
88,CYP17A1,AR,nan,Secreted Signaling
89,HSD17B6,NR1H4,nan,Secreted Signaling
90,LGALS9,BCR_PTPRC_CD22,nan,Secreted Signaling
91,GDF2_BMP15,BMPR1B_BMPR2_ACVR1B,nan,Secreted Signaling
92,BMP2,BMPR1A_BMPR2,nan,Secreted Signaling
93,BMP4,BMPR1A_BMPR2,nan,Secreted Signaling
94,BMP7,BMPR1A_BMPR2,nan,Secreted Signaling
95,BMP5,BMPR1A_BMPR2,nan,Secreted Signaling
96,BMP6,BMPR1A_BMPR2,nan,Secreted Signaling
97,GDF6,BMPR1A_BMPR2,nan,Secreted Signaling
98,GDF7,BMPR1A_BMPR2,nan,Secreted Signaling
99,BMP8A,BMPR1A_BMPR2,nan,Secreted Signaling
100,BMP15,BMPR1B_BMPR2,nan,Secreted Signaling
101,BMP2,BMPR1B_BMPR2,nan,Secreted Signaling
102,BMP4,BMPR1B_BMPR2,nan,Secreted Signaling
103,BMP7,BMPR1B_BMPR2,nan,Secreted Signaling
104,BMP5,BMPR1B_BMPR2,nan,Secreted Signaling
105,BMP6,BMPR1B_BMPR2,nan,Secreted Signaling
106,BMPR1B_BMPR2,BMPR1A,nan,Cell-Cell Contact
107,GDF5,BMPR1B_BMPR2,nan,Secreted Signaling
108,GDF6,BMPR1B_BMPR2,nan,Secreted Signaling
109,GDF7,BMPR1B_BMPR2,nan,Secreted Signaling
110,BMP8A,BMPR1B_BMPR2,nan,Secreted Signaling
111,BMP2,BMPR1A_ACVR2A,nan,Secreted Signaling
112,BMP4,BMPR1A_ACVR2A,nan,Secreted Signaling
113,BMP7,BMPR1A_ACVR2A,nan,Secreted Signaling
114,BMP5,BMPR1A_ACVR2A,nan,Secreted Signaling
115,BMP6,BMPR1A_ACVR2A,nan,Secreted Signaling
116,GDF5,BMPR1A_ACVR2A,nan,Secreted Signaling
117,GDF6,BMPR1A_ACVR2A,nan,Secreted Signaling
118,GDF7,BMPR1A_ACVR2A,nan,Secreted Signaling
119,BMP8A,BMPR1A_ACVR2A,nan,Secreted Signaling
120,BMP2,BMPR1A_ACVR2B,nan,Secreted Signaling
121,BMP4,BMPR1A_ACVR2B,nan,Secreted Signaling
122,BMP7,BMPR1A_ACVR2B,nan,Secreted Signaling
123,BMP5,BMPR1A_ACVR2B,nan,Secreted Signaling
124,BMP6,BMPR1A_ACVR2B,nan,Secreted Signaling
125,GDF5,BMPR1A_ACVR2B,nan,Secreted Signaling
126,GDF7,BMPR1A_ACVR2B,nan,Secreted Signaling
127,BMP8A,BMPR1A_ACVR2B,nan,Secreted Signaling
128,BMP2,BMPR1B_ACVR2A,nan,Secreted Signaling
129,BMP4,BMPR1B_ACVR2A,nan,Secreted Signaling
130,BMP7,BMPR1B_ACVR2A,nan,Secreted Signaling
131,BMP5,BMPR1B_ACVR2A,nan,Secreted Signaling
132,BMP6,BMPR1B_ACVR2A,nan,Secreted Signaling
133,GDF5,BMPR1B_ACVR2A,nan,Secreted Signaling
134,GDF6,BMPR1B_ACVR2A,nan,Secreted Signaling
135,GDF7,BMPR1B_ACVR2A,nan,Secreted Signaling
136,BMP8A,BMPR1B_ACVR2A,nan,Secreted Signaling
137,BMP2,BMPR1B_ACVR2B,nan,Secreted Signaling
138,BMP4,BMPR1B_ACVR2B,nan,Secreted Signaling
139,BMP7,BMPR1B_ACVR2B,nan,Secreted Signaling
140,BMP5,BMPR1B_ACVR2B,nan,Secreted Signaling
141,BMP6,BMPR1B_ACVR2B,nan,Secreted Signaling
142,GDF5,BMPR1B_ACVR2B,nan,Secreted Signaling
143,GDF6,BMPR1B_ACVR2B,nan,Secreted Signaling
144,GDF7,BMPR1B_ACVR2B,nan,Secreted Signaling
145,BMP8A,BMPR1B_ACVR2B,nan,Secreted Signaling
146,CCL3L1,CCR1,nan,Secreted Signaling
147,CCL3L1,CCR3,nan,Secreted Signaling
148,CD8A_CD8B,LCK,nan,Cell-Cell Contact
149,KLRD1_KLRC1,HLA-E,nan,Cell-Cell Contact
150,KLRD1_KLRC2,HLA-E,nan,Cell-Cell Contact
151,KLRD1_KLRC3,HLA-E,nan,Cell-Cell Contact
152,CNTF,CNTFR_LIFR_IL6ST,nan,Secreted Signaling
153,CLCF1,CNTFR_LIFR_IL6ST,nan,Secreted Signaling
154,APOA1,AMN_CUBN,nan,Secreted Signaling
155,CYP27B1,VDR,nan,Secreted Signaling
156,HSD3B1,CATSPER1_CATSPERB,nan,Secreted Signaling
157,HSD3B1,CATSPER1_CATSPERD,nan,Secreted Signaling
158,HSD3B1,CATSPER2_CATSPERB,nan,Secreted Signaling
159,HSD3B1,CATSPER2_CATSPERD,nan,Secreted Signaling
160,HSD3B1,CATSPER3_CATSPERB,nan,Secreted Signaling
161,HSD3B1,CATSPER3_CATSPERD,nan,Secreted Signaling
162,HSD3B1,CATSPER4_CATSPERB,nan,Secreted Signaling
163,HSD3B1,CATSPER4_CATSPERD,nan,Secreted Signaling
164,CEL,RORA,nan,Secreted Signaling
165,CEL,RORC,nan,Secreted Signaling
166,DHCR24,RORA,nan,Secreted Signaling
167,DHCR24,RORC,nan,Secreted Signaling
168,DHCR7,RORA,nan,Secreted Signaling
169,DHCR7,RORC,nan,Secreted Signaling
170,LIPA,RORA,nan,Secreted Signaling
171,LIPA,RORC,nan,Secreted Signaling
172,CYP11B1,NR3C1,nan,Secreted Signaling
173,CYP11B1,NR3C2,nan,Secreted Signaling
174,KLRF2,CLEC2A,nan,Cell-Cell Contact
175,SULT1E1,PPARG,nan,Secreted Signaling
176,SULT1E1,PPARA,nan,Secreted Signaling
177,SULT2A1,PPARG,nan,Secreted Signaling
178,SULT2A1,PPARA,nan,Secreted Signaling
179,SULT1A1,PPARG,nan,Secreted Signaling
180,SULT1A1,PPARA,nan,Secreted Signaling
181,UBASH3B,NR1I2,nan,Secreted Signaling
182,UBASH3B,ESR1,nan,Secreted Signaling
183,UBASH3B,PPARA,nan,Secreted Signaling
184,DHCR7,NR1H2,nan,Secreted Signaling
185,DHCR7,NR1H3,nan,Secreted Signaling
186,CYP21A2,NR3C2,nan,Secreted Signaling
187,SRD5A1,AR,nan,Secreted Signaling
188,SRD5A2,AR,nan,Secreted Signaling
189,SRD5A3,AR,nan,Secreted Signaling
190,PNMT,ADRB2,nan,Secreted Signaling
191,PNMT,ADRB1,nan,Secreted Signaling
192,PNMT,ADRA2A,nan,Secreted Signaling
193,PNMT,ADRB3,nan,Secreted Signaling
194,PNMT,ADRA2B,nan,Secreted Signaling
195,PNMT,ADRA2C,nan,Secreted Signaling
196,PNMT,ADRA1D,nan,Secreted Signaling
197,PNMT,ADRA1A,nan,Secreted Signaling
198,PNMT,ADRA1B,nan,Secreted Signaling
199,CYP19A1,NR1I2,nan,Secreted Signaling
200,CYP19A1,ESR1,nan,Secreted Signaling
201,CYP19A1,ESR2,nan,Secreted Signaling
202,CYP19A1,GPER1,nan,Secreted Signaling
203,HSD17B1,NR1I2,nan,Secreted Signaling
204,HSD17B1,ESR1,nan,Secreted Signaling
205,HSD17B1,ESR2,nan,Secreted Signaling
206,HSD17B1,GPER1,nan,Secreted Signaling
207,WNT1,RYK_FZD8,nan,Secreted Signaling
208,WNT5A,RYK_FZD8,nan,Secreted Signaling
209,WNT3,RYK_FZD8,nan,Secreted Signaling
210,WNT3A,RYK_FZD8,nan,Secreted Signaling
211,VEGFA,FLT1_KDR,nan,Secreted Signaling
212,PGF,FLT1_KDR,nan,Secreted Signaling
213,VEGFB,FLT1_KDR,nan,Secreted Signaling
214,ALB,B2M_FCGRT,nan,Secreted Signaling
215,CGA_FSHB,FSHR,nan,Secreted Signaling
216,GAL,GALR1_GPR151,nan,Secreted Signaling
217,GALP,GALR1_GPR151,nan,Secreted Signaling
218,GAL,GALR2_GPR151,nan,Secreted Signaling
219,SPX,GALR2_GPR151,nan,Secreted Signaling
220,GALP,GALR2_GPR151,nan,Secreted Signaling
221,GAL,GALR3_GPR151,nan,Secreted Signaling
222,SPX,GALR3_GPR151,nan,Secreted Signaling
223,GALP,GALR3_GPR151,nan,Secreted Signaling
224,CSF2,CSF2RB_CSF2RA,nan,Secreted Signaling
225,F2,GP1BA_GP1BB,nan,Secreted Signaling
226,VWF,GP1BA_GP1BB,nan,Secreted Signaling
227,HLA-A,KIR3DL1,nan,Cell-Cell Contact
228,HLA-B,KIR3DL2,nan,Cell-Cell Contact
229,HLA-C,KIR2DL1,nan,Cell-Cell Contact
230,HLA-C,KIR2DL3,nan,Cell-Cell Contact
231,FAM3C,HLA-C,nan,Secreted Signaling
232,GAL,HLA-DPA1,nan,Secreted Signaling
233,TNFSF9,HLA-DPA1,nan,Secreted Signaling
234,NRG1,HLA-DPB1,nan,Secreted Signaling
235,TNFSF13B,HLA-DPB1,nan,Secreted Signaling
236,PRL,HLA-DQB2,nan,Secreted Signaling
237,OGN,HLA-DRB1,nan,Secreted Signaling
238,HDC,HRH2,nan,Secreted Signaling
239,HDC,HRH1,nan,Secreted Signaling
240,HDC,HRH4,nan,Secreted Signaling
241,HDC,HRH3,nan,Secreted Signaling
242,IFNA1,CR2,nan,Secreted Signaling
243,IFNA1,IFNAR1_IFNAR2,nan,Secreted Signaling
244,IGF1,IGF1R_GPC3,nan,Secreted Signaling
245,IL10,IL10RA_IL10RB,nan,Secreted Signaling
246,IL11,IL11RA_IL6ST,nan,Secreted Signaling
247,IL12A_IL12B,IL12RB1_IL12RB2,nan,Secreted Signaling
248,IL4,IL13RA1_IL4R,nan,Secreted Signaling
249,IL13,IL13RA1_IL4R,nan,Secreted Signaling
250,IL15,IL15RA_IL2RB,nan,Secreted Signaling
251,IL17A_IL17F,IL17RA_IL17RC,nan,Secreted Signaling
252,IL25,IL17RA_IL17RB,nan,Secreted Signaling
253,IL17F,IL17RA_IL17RC,nan,Secreted Signaling
254,IL17C,IL17RA_IL17RE,nan,Secreted Signaling
255,IL18,IL18R1_IL18RAP,nan,Secreted Signaling
256,IL1A,IL1R1_IL1RAP,nan,Secreted Signaling
257,IL1B,IL1R1_IL1RAP,nan,Secreted Signaling
258,IL1RN,IL1R1_IL1RAP,nan,Secreted Signaling
259,IL1A,IL1R2_IL1RAP,nan,Secreted Signaling
260,IL1B,IL1R2_IL1RAP,nan,Secreted Signaling
261,IL1RN,IL1R2_IL1RAP,nan,Secreted Signaling
262,IL24,IL20RA_IL20RB,nan,Secreted Signaling
263,IL20,IL20RA_IL20RB,nan,Secreted Signaling
264,IL19,IL20RA_IL20RB,nan,Secreted Signaling
265,IL24,IL22RA1_IL20RB,nan,Secreted Signaling
266,IL20,IL22RA1_IL20RB,nan,Secreted Signaling
267,IL21,IL21R_IL2RG,nan,Secreted Signaling
268,IL22,IL22RA1_IL10RB,nan,Secreted Signaling
269,IL12B_IL23A,IL12RB1_IL23R,nan,Secreted Signaling
270,IL26,IL20RA_IL10RB,nan,Secreted Signaling
271,EBI3_IL27,IL27RA_IL6ST,nan,Secreted Signaling
272,IFNL3,IFNLR1_IL10RB,nan,Secreted Signaling
273,IL2,IL2RA_IL2RB_IL2RG,nan,Secreted Signaling
274,IL2,IL2RB_IL2RG,nan,Secreted Signaling
275,IL33,IL1RL1_IL1RAP,nan,Secreted Signaling
276,EBI3_IL12A,IL6ST_IL12RB2,nan,Secreted Signaling
277,IL1F10,IL1RL2_IL1RAP,nan,Secreted Signaling
278,IL36B,IL1RL2_IL1RAP,nan,Secreted Signaling
279,IL36G,IL1RL2_IL1RAP,nan,Secreted Signaling
280,IL36RN,IL1RL2_IL1RAP,nan,Secreted Signaling
281,IL36A,IL1RL2_IL1RAP,nan,Secreted Signaling
282,IL37,IL18R1_SIGIRR,nan,Secreted Signaling
283,IL3,CSF2RB_IL3RA,nan,Secreted Signaling
284,IL4,IL2RG_IL4R,nan,Secreted Signaling
285,IL5,CSF2RB_IL5RA,nan,Secreted Signaling
286,IL6,IL6R_IL6ST,nan,Secreted Signaling
287,IL7,IL7R_IL2RG,nan,Secreted Signaling
288,IL9,IL9R_IL2RG,nan,Secreted Signaling
289,OSM,LIFR_IL6ST,nan,Secreted Signaling
290,LIF,LIFR_IL6ST,nan,Secreted Signaling
291,AGRN,MUSK_LRP4,nan,Secreted Signaling
292,TYR,GPR143,nan,Secreted Signaling
293,LTA4H,GPR17,nan,Secreted Signaling
294,LTA4H,LTB4R,nan,Secreted Signaling
295,LTA4H,LTB4R2,nan,Secreted Signaling
296,ALOX5AP_ALOX5_LTC4S,GPR17,nan,Secreted Signaling
297,ALOX5AP_ALOX5_LTC4S,CYSLTR2,nan,Secreted Signaling
298,ALOX5AP_ALOX5_LTC4S,CYSLTR1,nan,Secreted Signaling
299,GGT1_GGT5,GPR17,nan,Secreted Signaling
300,GGT1_GGT5,CYSLTR2,nan,Secreted Signaling
301,GGT1_GGT5,CYSLTR1,nan,Secreted Signaling
302,DPEP1,CYSLTR1,nan,Secreted Signaling
303,DPEP2,CYSLTR1,nan,Secreted Signaling
304,DPEP3,CYSLTR1,nan,Secreted Signaling
305,ALOX12,FPR2,nan,Secreted Signaling
306,ALOX12,CYSLTR1,nan,Secreted Signaling
307,ALOX5_ALOX5AP_LTC4S,FPR2,nan,Secreted Signaling
308,ALOX5_ALOX5AP_LTC4S,CYSLTR1,nan,Secreted Signaling
309,ERVH48-1,SLC1A5,nan,Secreted Signaling
310,AMH,AMHR2_BMPR1A,nan,Secreted Signaling
311,AMH,AMHR2_BMPR1B,nan,Secreted Signaling
312,AMH,AMHR2_ACVR1,nan,Secreted Signaling
313,ASMT,MTNR1A,nan,Secreted Signaling
314,ASMT,MTNR1B,nan,Secreted Signaling
315,KLRK1_HCST,MICB,nan,Cell-Cell Contact
316,KLRK1_HCST,MICA,nan,Cell-Cell Contact
317,KLRK1_HCST,RAET1L,nan,Cell-Cell Contact
318,RAET1G,KLRK1_HCST,nan,Secreted Signaling
319,RAET1E,KLRK1_HCST,nan,Secreted Signaling
320,KLRK1_HCST,ULBP3,nan,Cell-Cell Contact
321,ULBP2,KLRK1_HCST,nan,Secreted Signaling
322,KLRK1_HCST,ULBP1,nan,Cell-Cell Contact
323,NODAL,ACVR1B_ACVR2A_CFC1,nan,Secreted Signaling
324,NODAL,ACVR1B_ACVR2A_TDGF1,nan,Secreted Signaling
325,NODAL,ACVR1B_ACVR2B_CFC1,nan,Secreted Signaling
326,NODAL,ACVR1B_ACVR2B_TDGF1,nan,Secreted Signaling
327,NODAL,ACVR1C_ACVR2B_CFC1,nan,Secreted Signaling
328,NODAL,ACVR1C_ACVR2B_TDGF1,nan,Secreted Signaling
329,DBH,ADRB2,nan,Secreted Signaling
330,DBH,ADRB1,nan,Secreted Signaling
331,DBH,ADRA2A,nan,Secreted Signaling
332,DBH,ADRB3,nan,Secreted Signaling
333,DBH,ADRA2B,nan,Secreted Signaling
334,DBH,ADRA2C,nan,Secreted Signaling
335,DBH,ADRA1D,nan,Secreted Signaling
336,DBH,ADRA1A,nan,Secreted Signaling
337,DBH,ADRA1B,nan,Secreted Signaling
338,RETN,GPR25,nan,Secreted Signaling
339,CCL24,CCR2,nan,Secreted Signaling
340,CCL24,CCR3,nan,Secreted Signaling
341,LGALS9,MET,nan,Secreted Signaling
342,LGALS9,CD44,nan,Secreted Signaling
343,LGALS9,LRP1,nan,Secreted Signaling
344,LGALS9,CD47,nan,Secreted Signaling
345,LGALS9,DAG1,nan,Secreted Signaling
346,LGALS9,PTPRK,nan,Secreted Signaling
347,LGALS9,SLC1A5,nan,Secreted Signaling
348,LGALS9,COLEC12,nan,Secreted Signaling
349,LGALS9,HAVCR2,nan,Secreted Signaling
350,LGALS9,SORL1,nan,Secreted Signaling
351,LGALS9,MRC2,nan,Secreted Signaling
352,TNFSF10,TNFRSF10A,nan,Secreted Signaling
353,CORT,SSTR1,nan,Secreted Signaling
354,CORT,SSTR2,nan,Secreted Signaling
355,CORT,SSTR4,nan,Secreted Signaling
356,CORT,SSTR3,nan,Secreted Signaling
357,CORT,SSTR5,nan,Secreted Signaling
358,CORT,GHSR,nan,Secreted Signaling
359,CORT,MRGPRX2,nan,Secreted Signaling
360,AGRP,MC4R,nan,Secreted Signaling
361,AGRP,MC5R,nan,Secreted Signaling
362,AGRP,MC3R,nan,Secreted Signaling
363,TULP1,TYRO3,nan,Secreted Signaling
364,TNFRSF11B,TNFSF11,nan,Secreted Signaling
365,CCL19,CCRL2,nan,Secreted Signaling
366,RARRES2,CCRL2,nan,Secreted Signaling
367,AGRN,NCAM1,nan,Secreted Signaling
368,AGRN,PTPRS,nan,Secreted Signaling
369,DLL1,NOTCH1,nan,Cell-Cell Contact
370,DLL1,NOTCH2,nan,Cell-Cell Contact
371,DLL1,NOTCH4,nan,Cell-Cell Contact
372,DLL1,NOTCH3,nan,Cell-Cell Contact
373,CXCL16,CXCR6,nan,Secreted Signaling
374,RNASET2,TLR8,nan,Secreted Signaling
375,CCL21,CCR7,nan,Secreted Signaling
376,CCL21,ACKR4,nan,Secreted Signaling
377,CCL3,ACKR2,nan,Secreted Signaling
378,CCL4,ACKR2,nan,Secreted Signaling
379,CCL2,ACKR2,nan,Secreted Signaling
380,CCL5,ACKR2,nan,Secreted Signaling
381,CCL3L1,ACKR2,nan,Secreted Signaling
382,CCL11,ACKR2,nan,Secreted Signaling
383,CCL8,ACKR2,nan,Secreted Signaling
384,CCL7,ACKR2,nan,Secreted Signaling
385,CCL14,ACKR2,nan,Secreted Signaling
386,CCL13,ACKR2,nan,Secreted Signaling
387,CCL28,ACKR2,nan,Secreted Signaling
388,CCL27,ACKR2,nan,Secreted Signaling
389,PODXL,SELL,nan,Cell-Cell Contact
390,CCL22,DPP4,nan,Secreted Signaling
391,CCL22,CCR4,nan,Secreted Signaling
392,WNT7A,LDLR,nan,Secreted Signaling
393,NRG2,ERBB3,nan,Secreted Signaling
394,NRG2,ERBB4,nan,Secreted Signaling
395,CXCL11,ACKR3,nan,Secreted Signaling
396,CXCL11,DPP4,nan,Secreted Signaling
397,CXCL11,CXCR3,nan,Secreted Signaling
398,FASLG,TNFRSF10B,nan,Secreted Signaling
399,TNFSF10,TNFRSF10B,nan,Secreted Signaling
400,VEGFA,NRP1,nan,Secreted Signaling
401,PGF,NRP1,nan,Secreted Signaling
402,VEGFB,NRP1,nan,Secreted Signaling
403,SEMA3A,NRP1,nan,Secreted Signaling
404,TNFSF11,TNFRSF11A,nan,Secreted Signaling
405,MSTN,TGFBR1_ACVR2A,nan,Secreted Signaling
406,MSTN,TGFBR1_ACVR2B,nan,Secreted Signaling
407,TNFSF10,TNFRSF10C,nan,Secreted Signaling
408,TNFSF13,TNFRSF13B,nan,Secreted Signaling
409,CD70,TNFRSF13B,nan,Secreted Signaling
410,TNFSF13B,TNFRSF13B,nan,Secreted Signaling
411,NCR3,NCR3LG1,nan,Cell-Cell Contact
412,EREG,EGFR,nan,Secreted Signaling
413,EREG,ERBB4,nan,Secreted Signaling
414,PTN,PLXNB2,nan,Secreted Signaling
415,PLXNB2,SEMA4D,nan,Cell-Cell Contact
416,PLXNB2,SEMA4C,nan,Cell-Cell Contact
417,PLXNB2,SEMA4G,nan,Cell-Cell Contact
418,SEMA3E,PLXND1,nan,Secreted Signaling
419,ANGPT2,TEK,nan,Secreted Signaling
420,CCL4L2,PGRMC2,nan,Secreted Signaling
421,EPHB6,EFNB2,nan,Secreted Signaling
422,EPHB6,EFNB1,nan,Cell-Cell Contact
423,EPHB6,EFNB3,nan,Secreted Signaling
424,VGF,NTRK1,nan,Secreted Signaling
425,PSAP,GPR37,nan,Secreted Signaling
426,FAM19A5,GPR37,nan,Secreted Signaling
427,IL16,GRIN2D,nan,Secreted Signaling
428,CCL25,CCR9,nan,Secreted Signaling
429,CCL25,ACKR4,nan,Secreted Signaling
430,CCL16,CCR1,nan,Secreted Signaling
431,CCL16,CCR2,nan,Secreted Signaling
432,CCL16,CCR8,nan,Secreted Signaling
433,CCL16,HRH4,nan,Secreted Signaling
434,FGF10,FGFR2,nan,Secreted Signaling
435,ADIPOQ,GPR42,nan,Secreted Signaling
436,CCL4L2,GPR42,nan,Secreted Signaling
437,FAM3C,GPR42,nan,Secreted Signaling
438,BMP10,FFAR2,nan,Secreted Signaling
439,TNF,FFAR2,nan,Secreted Signaling
440,CCL4L2,FFAR2,nan,Secreted Signaling
441,FAM3C,FFAR2,nan,Secreted Signaling
442,PLXNB1,SEMA4D,nan,Secreted Signaling
443,MLN,MLNR,nan,Secreted Signaling
444,GHRL,MLNR,nan,Secreted Signaling
445,DHH,PTCH1_BOC,nan,Secreted Signaling
446,DHH,PTCH1_CDON,nan,Secreted Signaling
447,DHH,PTCH1_GAS1,nan,Secreted Signaling
448,TNFSF12,TNFRSF25,nan,Secreted Signaling
449,TNFSF12,TNFRSF12A,nan,Secreted Signaling
450,GNRH2,GNRHR,nan,Secreted Signaling
451,GNRH2,GNRHR2,nan,Secreted Signaling
452,TNFSF14,LTBR,nan,Secreted Signaling
453,TNFSF14,TNFRSF14,nan,Secreted Signaling
454,HCRT,HCRTR1,nan,Secreted Signaling
455,HCRT,HCRTR2,nan,Secreted Signaling
456,TYROBP,CD44,nan,Cell-Cell Contact
457,VEGFD,FLT4,nan,Secreted Signaling
458,VEGFD,KDR,nan,Secreted Signaling
459,EFNA2,EPHA1,nan,Cell-Cell Contact
460,EFNA2,EPHA2,nan,Cell-Cell Contact
461,EFNA2,EPHA3,nan,Cell-Cell Contact
462,EFNA2,EPHA8,nan,Cell-Cell Contact
463,EFNA2,EPHA5,nan,Cell-Cell Contact
464,EFNA2,EPHA4,nan,Cell-Cell Contact
465,EFNA2,EPHA7,nan,Cell-Cell Contact
466,CXCL13,CXCR5,nan,Secreted Signaling
467,CXCL13,ACKR4,nan,Secreted Signaling
468,FGF17,FGFR2,nan,Secreted Signaling
469,FGF17,FGFR3,nan,Secreted Signaling
470,GDF9,TGFBR1_BMPR2,nan,Secreted Signaling
471,VEGFA,NRP2,nan,Secreted Signaling
472,PGF,NRP2,nan,Secreted Signaling
473,SEMA3F,NRP2,nan,Secreted Signaling
474,SEMA3C,NRP2,nan,Secreted Signaling
475,PLXNC1,SEMA7A,nan,Cell-Cell Contact
476,PSPN,RET_GFRA4,nan,Secreted Signaling
