Approved symbol	Locus group	Ensembl gene ID
MT1IP	pseudogene	ENSG00000275691
MT1JP	pseudogene	ENSG00000255986
MT1L	pseudogene	ENSG00000260549
MT1M	protein-coding gene	ENSG00000205364
MT1P1	pseudogene	ENSG00000213761
MT1P3	pseudogene	ENSG00000229230
MT1X	protein-coding gene	ENSG00000187193
MT1XP1	pseudogene	ENSG00000233929
MT2A	protein-coding gene	ENSG00000125148
MT2P1	pseudogene	ENSG00000162840
MT3	protein-coding gene	ENSG00000087250
MT4	protein-coding gene	ENSG00000102891
MTA1	protein-coding gene	ENSG00000182979
MTA2	protein-coding gene	ENSG00000149480
MTA3	protein-coding gene	ENSG00000057935
MTA3P1	pseudogene	ENSG00000228937
MTAP	protein-coding gene	ENSG00000099810
MTAPP1	pseudogene	ENSG00000243025
MTAPP2	pseudogene	ENSG00000230077
MTARC1	protein-coding gene	ENSG00000186205
MTARC2	protein-coding gene	ENSG00000117791
MTATP6P1	pseudogene	ENSG00000248527
MTATP6P10	pseudogene	ENSG00000283626
MTATP6P11	pseudogene	ENSG00000228097
MTATP6P12	pseudogene	
MTATP6P13	pseudogene	ENSG00000229842
MTATP6P14	pseudogene	ENSG00000233449
MTATP6P15	pseudogene	ENSG00000254931
MTATP6P16	pseudogene	ENSG00000224299
MTATP6P17	pseudogene	ENSG00000235433
MTATP6P18	pseudogene	ENSG00000227035
MTATP6P19	pseudogene	ENSG00000228316
MTATP6P2	pseudogene	ENSG00000270307
MTATP6P20	pseudogene	ENSG00000237948
MTATP6P21	pseudogene	ENSG00000226392
MTATP6P22	pseudogene	ENSG00000249580
MTATP6P23	pseudogene	ENSG00000230755
MTATP6P24	pseudogene	ENSG00000262381
MTATP6P25	pseudogene	ENSG00000262095
MTATP6P26	pseudogene	ENSG00000236878
MTATP6P27	pseudogene	ENSG00000234003
MTATP6P28	pseudogene	
MTATP6P29	pseudogene	ENSG00000232179
MTATP6P3	pseudogene	ENSG00000263483
MTATP6P30	pseudogene	ENSG00000226998
MTATP6P31	pseudogene	ENSG00000218776
MTATP6P4	pseudogene	ENSG00000236590
MTATP6P5	pseudogene	ENSG00000284167
MTATP6P6	pseudogene	
MTATP6P7	pseudogene	ENSG00000232990
MTATP6P8	pseudogene	ENSG00000283547
MTATP6P9	pseudogene	ENSG00000248420
MTATP8P1	pseudogene	ENSG00000240409
MTATP8P2	pseudogene	ENSG00000229604
MTATP8P3	pseudogene	
MTATP8P4	pseudogene	
MTBP	protein-coding gene	ENSG00000172167
MTCH1	protein-coding gene	ENSG00000137409
MTCH2	protein-coding gene	ENSG00000109919
MTCL1	protein-coding gene	ENSG00000168502
MTCL1P1	pseudogene	ENSG00000226554
MTCO1P1	pseudogene	ENSG00000280243
MTCO1P10	pseudogene	ENSG00000236692
MTCO1P11	pseudogene	ENSG00000224083
MTCO1P12	pseudogene	ENSG00000237973
MTCO1P13	pseudogene	
MTCO1P14	pseudogene	ENSG00000232551
MTCO1P15	pseudogene	ENSG00000255350
MTCO1P16	pseudogene	
MTCO1P17	pseudogene	ENSG00000223619
MTCO1P18	pseudogene	ENSG00000237910
MTCO1P19	pseudogene	ENSG00000237300
MTCO1P2	pseudogene	ENSG00000259045
MTCO1P20	pseudogene	ENSG00000233764
MTCO1P21	pseudogene	ENSG00000226960
MTCO1P22	pseudogene	ENSG00000271207
MTCO1P23	pseudogene	ENSG00000235524
MTCO1P24	pseudogene	ENSG00000249448
MTCO1P25	pseudogene	ENSG00000229031
MTCO1P26	pseudogene	
MTCO1P27	pseudogene	ENSG00000232579
MTCO1P28	pseudogene	ENSG00000262118
MTCO1P29	pseudogene	ENSG00000240452
MTCO1P3	pseudogene	ENSG00000228930
MTCO1P30	pseudogene	ENSG00000248729
MTCO1P31	pseudogene	ENSG00000251476
MTCO1P32	pseudogene	
MTCO1P33	pseudogene	
MTCO1P34	pseudogene	
MTCO1P35	pseudogene	ENSG00000250630
MTCO1P36	pseudogene	
MTCO1P37	pseudogene	
MTCO1P38	pseudogene	ENSG00000283174
MTCO1P39	pseudogene	ENSG00000224254
MTCO1P4	pseudogene	ENSG00000253556
MTCO1P40	pseudogene	ENSG00000262902
MTCO1P41	pseudogene	
MTCO1P42	pseudogene	ENSG00000230327
MTCO1P43	pseudogene	ENSG00000228898
MTCO1P44	pseudogene	ENSG00000227149
MTCO1P45	pseudogene	ENSG00000232982
MTCO1P46	pseudogene	ENSG00000236007
MTCO1P47	pseudogene	ENSG00000254241
MTCO1P48	pseudogene	ENSG00000237055
MTCO1P49	pseudogene	ENSG00000253916
MTCO1P5	pseudogene	ENSG00000233026
MTCO1P50	pseudogene	
MTCO1P51	pseudogene	ENSG00000232981
MTCO1P52	pseudogene	ENSG00000229760
MTCO1P53	pseudogene	ENSG00000230916
MTCO1P54	pseudogene	ENSG00000233311
MTCO1P55	pseudogene	ENSG00000241926
MTCO1P56	pseudogene	ENSG00000220340
MTCO1P57	pseudogene	ENSG00000232975
MTCO1P6	pseudogene	ENSG00000240309
MTCO1P7	pseudogene	ENSG00000236211
MTCO1P8	pseudogene	ENSG00000234700
MTCO1P9	pseudogene	ENSG00000251223
MTCO2P1	pseudogene	ENSG00000229690
MTCO2P10	pseudogene	ENSG00000284291
MTCO2P11	pseudogene	ENSG00000235917
MTCO2P12	pseudogene	ENSG00000229344
MTCO2P13	pseudogene	
MTCO2P14	pseudogene	
MTCO2P15	pseudogene	ENSG00000255417
MTCO2P16	pseudogene	ENSG00000234842
MTCO2P17	pseudogene	ENSG00000233888
MTCO2P18	pseudogene	ENSG00000234480
MTCO2P19	pseudogene	ENSG00000237628
MTCO2P2	pseudogene	ENSG00000267541
MTCO2P20	pseudogene	ENSG00000231576
MTCO2P21	pseudogene	ENSG00000236689
MTCO2P22	pseudogene	ENSG00000270225
MTCO2P23	pseudogene	ENSG00000235803
MTCO2P24	pseudogene	ENSG00000249990
MTCO2P25	pseudogene	ENSG00000230654
MTCO2P26	pseudogene	
MTCO2P27	pseudogene	ENSG00000230321
MTCO2P28	pseudogene	
MTCO2P29	pseudogene	ENSG00000243257
MTCO2P3	pseudogene	ENSG00000230009
MTCO2P30	pseudogene	ENSG00000250808
MTCO2P31	pseudogene	ENSG00000217160
MTCO2P32	pseudogene	ENSG00000248951
MTCO2P33	pseudogene	ENSG00000217083
MTCO2P34	pseudogene	ENSG00000232198
MTCO2P4	pseudogene	ENSG00000253977
MTCO2P5	pseudogene	ENSG00000231766
MTCO2P6	pseudogene	ENSG00000240951
MTCO2P7	pseudogene	ENSG00000230496
MTCO2P8	pseudogene	ENSG00000234234
MTCO2P9	pseudogene	ENSG00000249386
MTCO3P1	pseudogene	ENSG00000235040
MTCO3P10	pseudogene	ENSG00000231537
MTCO3P11	pseudogene	ENSG00000237711
MTCO3P12	pseudogene	ENSG00000198744
MTCO3P13	pseudogene	ENSG00000264316
MTCO3P14	pseudogene	
MTCO3P15	pseudogene	ENSG00000254895
MTCO3P16	pseudogene	ENSG00000227736
MTCO3P17	pseudogene	ENSG00000237542
MTCO3P18	pseudogene	ENSG00000227661
MTCO3P19	pseudogene	ENSG00000224471
MTCO3P2	pseudogene	ENSG00000232102
MTCO3P20	pseudogene	ENSG00000225557
MTCO3P21	pseudogene	ENSG00000232752
MTCO3P22	pseudogene	ENSG00000270388
MTCO3P23	pseudogene	ENSG00000259651
MTCO3P24	pseudogene	ENSG00000262158
MTCO3P25	pseudogene	
MTCO3P26	pseudogene	
MTCO3P27	pseudogene	ENSG00000251430
MTCO3P28	pseudogene	ENSG00000248328
MTCO3P29	pseudogene	ENSG00000228069
MTCO3P3	pseudogene	
MTCO3P30	pseudogene	ENSG00000229080
MTCO3P31	pseudogene	ENSG00000217044
MTCO3P32	pseudogene	
MTCO3P33	pseudogene	
MTCO3P34	pseudogene	
MTCO3P35	pseudogene	ENSG00000242836
MTCO3P36	pseudogene	
MTCO3P37	pseudogene	
MTCO3P38	pseudogene	ENSG00000242456
MTCO3P39	pseudogene	ENSG00000268736
MTCO3P4	pseudogene	ENSG00000228851
MTCO3P40	pseudogene	ENSG00000228046
MTCO3P41	pseudogene	ENSG00000237466
MTCO3P42	pseudogene	ENSG00000268391
MTCO3P43	pseudogene	ENSG00000227788
MTCO3P44	pseudogene	ENSG00000248654
MTCO3P45	pseudogene	ENSG00000232128
MTCO3P46	pseudogene	ENSG00000235761
MTCO3P5	pseudogene	ENSG00000225476
MTCO3P6	pseudogene	
MTCO3P7	pseudogene	ENSG00000249997
MTCO3P8	pseudogene	ENSG00000233385
MTCO3P9	pseudogene	ENSG00000249698
MTCP1	protein-coding gene	ENSG00000214827
MTCYBP1	pseudogene	ENSG00000234179
MTCYBP10	pseudogene	ENSG00000233285
MTCYBP11	pseudogene	ENSG00000224288
MTCYBP12	pseudogene	ENSG00000226313
MTCYBP13	pseudogene	ENSG00000266529
MTCYBP14	pseudogene	ENSG00000238236
MTCYBP15	pseudogene	ENSG00000232154
MTCYBP16	pseudogene	ENSG00000251385
MTCYBP17	pseudogene	ENSG00000249247
MTCYBP18	pseudogene	ENSG00000244921
MTCYBP19	pseudogene	ENSG00000253504
MTCYBP2	pseudogene	ENSG00000217179
MTCYBP20	pseudogene	ENSG00000254118
MTCYBP21	pseudogene	ENSG00000224747
MTCYBP22	pseudogene	ENSG00000270232
MTCYBP23	pseudogene	ENSG00000259671
MTCYBP24	pseudogene	ENSG00000236232
MTCYBP25	pseudogene	
MTCYBP26	pseudogene	
MTCYBP27	pseudogene	ENSG00000259012
MTCYBP28	pseudogene	ENSG00000260161
MTCYBP29	pseudogene	ENSG00000224880
MTCYBP3	pseudogene	ENSG00000232373
MTCYBP30	pseudogene	
MTCYBP31	pseudogene	ENSG00000226579
MTCYBP32	pseudogene	ENSG00000229794
MTCYBP33	pseudogene	ENSG00000263241
MTCYBP34	pseudogene	ENSG00000237129
MTCYBP35	pseudogene	ENSG00000251340
MTCYBP36	pseudogene	ENSG00000216853
MTCYBP37	pseudogene	ENSG00000248765
MTCYBP38	pseudogene	ENSG00000226414
MTCYBP39	pseudogene	ENSG00000226341
MTCYBP4	pseudogene	ENSG00000220113
MTCYBP40	pseudogene	ENSG00000248931
MTCYBP41	pseudogene	ENSG00000254650
MTCYBP42	pseudogene	ENSG00000228803
MTCYBP43	pseudogene	ENSG00000250624
MTCYBP44	pseudogene	ENSG00000248282
MTCYBP45	pseudogene	ENSG00000224338
MTCYBP5	pseudogene	ENSG00000234671
MTCYBP6	pseudogene	ENSG00000230605
MTCYBP7	pseudogene	ENSG00000227789
MTCYBP8	pseudogene	ENSG00000233550
MTCYBP9	pseudogene	ENSG00000229935
MTDH	protein-coding gene	ENSG00000147649
MTDHP1	pseudogene	ENSG00000270948
MTDHP2	pseudogene	ENSG00000269615
MTDHP3	pseudogene	ENSG00000268433
MTDHP4	pseudogene	ENSG00000268535
MTDHP5	pseudogene	ENSG00000269575
MTERF1	protein-coding gene	ENSG00000127989
MTERF2	protein-coding gene	ENSG00000120832
MTERF3	protein-coding gene	ENSG00000156469
MTERF4	protein-coding gene	ENSG00000122085
MTF1	protein-coding gene	ENSG00000188786
MTF2	protein-coding gene	ENSG00000143033
MTFMT	protein-coding gene	ENSG00000103707
MTFP1	protein-coding gene	ENSG00000242114
MTFR1	protein-coding gene	ENSG00000066855
MTFR1L	protein-coding gene	ENSG00000117640
MTFR1P1	pseudogene	ENSG00000231356
MTFR2	protein-coding gene	ENSG00000146410
MTFR2P1	pseudogene	ENSG00000233716
MTFR2P2	pseudogene	ENSG00000235647
MTG1	protein-coding gene	ENSG00000148824
MTG2	protein-coding gene	ENSG00000101181
MTHFD1	protein-coding gene	ENSG00000100714
MTHFD1L	protein-coding gene	ENSG00000120254
MTHFD1P1	pseudogene	ENSG00000231831
MTHFD2	protein-coding gene	ENSG00000065911
MTHFD2L	protein-coding gene	ENSG00000163738
MTHFD2P1	pseudogene	ENSG00000244681
MTHFD2P2	pseudogene	ENSG00000217169
MTHFD2P3	pseudogene	ENSG00000231112
MTHFD2P4	pseudogene	ENSG00000251253
MTHFD2P5	pseudogene	ENSG00000213530
MTHFD2P6	pseudogene	ENSG00000249266
MTHFD2P7	pseudogene	ENSG00000181260
MTHFR	protein-coding gene	ENSG00000177000
MTHFS	protein-coding gene	ENSG00000136371
MTHFSD	protein-coding gene	ENSG00000103248
MTIF2	protein-coding gene	ENSG00000085760
MTIF2P1	pseudogene	ENSG00000233432
MTIF3	protein-coding gene	ENSG00000122033
MTL3P	pseudogene	ENSG00000264697
MTLN	protein-coding gene	ENSG00000175701
MTM1	protein-coding gene	ENSG00000171100
MTMR1	protein-coding gene	ENSG00000063601
MTMR10	protein-coding gene	ENSG00000166912
MTMR11	protein-coding gene	ENSG00000014914
MTMR12	protein-coding gene	ENSG00000150712
MTMR14	protein-coding gene	ENSG00000163719
MTMR2	protein-coding gene	ENSG00000087053
MTMR3	protein-coding gene	ENSG00000100330
MTMR4	protein-coding gene	ENSG00000108389
MTMR6	protein-coding gene	ENSG00000139505
MTMR7	protein-coding gene	ENSG00000003987
MTMR8	protein-coding gene	ENSG00000102043
MTMR9	protein-coding gene	ENSG00000104643
MTMR9LP	pseudogene	ENSG00000220785
MTND1P1	pseudogene	ENSG00000226529
MTND1P10	pseudogene	ENSG00000229088
MTND1P11	pseudogene	ENSG00000228166
MTND1P12	pseudogene	ENSG00000225433
MTND1P13	pseudogene	
MTND1P14	pseudogene	ENSG00000227225
MTND1P15	pseudogene	ENSG00000264168
MTND1P16	pseudogene	ENSG00000239586
MTND1P17	pseudogene	ENSG00000228122
MTND1P18	pseudogene	ENSG00000225276
MTND1P19	pseudogene	ENSG00000251449
MTND1P2	pseudogene	ENSG00000235646
MTND1P20	pseudogene	ENSG00000226794
MTND1P21	pseudogene	ENSG00000235940
MTND1P22	pseudogene	ENSG00000251407
MTND1P23	pseudogene	ENSG00000225972
MTND1P24	pseudogene	ENSG00000257858
MTND1P25	pseudogene	
MTND1P26	pseudogene	ENSG00000234576
MTND1P27	pseudogene	ENSG00000223921
MTND1P28	pseudogene	ENSG00000230158
MTND1P29	pseudogene	ENSG00000237722
MTND1P3	pseudogene	ENSG00000239648
MTND1P30	pseudogene	ENSG00000238047
MTND1P31	pseudogene	ENSG00000235170
MTND1P32	pseudogene	ENSG00000232282
MTND1P33	pseudogene	ENSG00000235539
MTND1P34	pseudogene	ENSG00000225514
MTND1P35	pseudogene	ENSG00000255055
MTND1P36	pseudogene	ENSG00000253245
MTND1P37	pseudogene	ENSG00000283456
MTND1P4	pseudogene	ENSG00000230764
MTND1P5	pseudogene	ENSG00000253795
MTND1P6	pseudogene	ENSG00000254346
MTND1P7	pseudogene	ENSG00000282321
MTND1P8	pseudogene	ENSG00000263177
MTND1P9	pseudogene	ENSG00000228995
MTND2P1	pseudogene	
MTND2P10	pseudogene	
MTND2P11	pseudogene	ENSG00000237124
MTND2P12	pseudogene	ENSG00000228725
MTND2P13	pseudogene	ENSG00000263914
MTND2P14	pseudogene	ENSG00000240796
MTND2P15	pseudogene	ENSG00000231152
MTND2P16	pseudogene	ENSG00000230818
MTND2P17	pseudogene	ENSG00000258239
MTND2P18	pseudogene	ENSG00000234939
MTND2P19	pseudogene	ENSG00000231567
MTND2P2	pseudogene	ENSG00000229954
MTND2P20	pseudogene	ENSG00000229701
MTND2P21	pseudogene	ENSG00000230950
MTND2P22	pseudogene	ENSG00000231954
MTND2P23	pseudogene	ENSG00000232631
MTND2P24	pseudogene	ENSG00000231947
MTND2P25	pseudogene	ENSG00000228182
MTND2P26	pseudogene	ENSG00000254565
MTND2P27	pseudogene	
MTND2P28	pseudogene	ENSG00000225630
MTND2P29	pseudogene	ENSG00000233595
MTND2P3	pseudogene	ENSG00000234850
MTND2P30	pseudogene	ENSG00000227937
MTND2P31	pseudogene	ENSG00000251252
MTND2P32	pseudogene	ENSG00000254090
MTND2P33	pseudogene	ENSG00000248907
MTND2P34	pseudogene	
MTND2P35	pseudogene	
MTND2P36	pseudogene	
MTND2P37	pseudogene	
MTND2P38	pseudogene	ENSG00000253828
MTND2P39	pseudogene	ENSG00000230130
MTND2P4	pseudogene	ENSG00000230252
MTND2P40	pseudogene	ENSG00000236483
MTND2P41	pseudogene	ENSG00000283131
MTND2P5	pseudogene	ENSG00000224354
MTND2P6	pseudogene	ENSG00000237309
MTND2P7	pseudogene	ENSG00000253970
MTND2P8	pseudogene	ENSG00000237257
MTND2P9	pseudogene	ENSG00000225901
MTND3P1	pseudogene	ENSG00000226118
MTND3P10	pseudogene	ENSG00000233286
MTND3P11	pseudogene	
MTND3P12	pseudogene	ENSG00000259626
MTND3P13	pseudogene	ENSG00000263196
MTND3P14	pseudogene	
MTND3P15	pseudogene	ENSG00000283940
MTND3P16	pseudogene	ENSG00000224590
MTND3P17	pseudogene	ENSG00000233134
MTND3P18	pseudogene	ENSG00000283865
MTND3P19	pseudogene	ENSG00000271480
MTND3P2	pseudogene	ENSG00000230052
MTND3P20	pseudogene	ENSG00000220733
MTND3P21	pseudogene	ENSG00000235794
MTND3P22	pseudogene	ENSG00000248946
MTND3P23	pseudogene	ENSG00000238288
MTND3P24	pseudogene	ENSG00000249045
MTND3P25	pseudogene	ENSG00000249192
MTND3P3	pseudogene	ENSG00000249127
MTND3P4	pseudogene	ENSG00000230302
MTND3P5	pseudogene	ENSG00000251353
MTND3P6	pseudogene	ENSG00000242214
MTND3P7	pseudogene	ENSG00000240824
MTND3P8	pseudogene	ENSG00000232714
MTND3P9	pseudogene	ENSG00000227557
MTND4LP1	pseudogene	ENSG00000231501
MTND4LP10	pseudogene	ENSG00000240084
MTND4LP11	pseudogene	ENSG00000234163
MTND4LP12	pseudogene	ENSG00000236300
MTND4LP13	pseudogene	ENSG00000235318
MTND4LP14	pseudogene	ENSG00000243104
MTND4LP15	pseudogene	
MTND4LP16	pseudogene	ENSG00000234731
MTND4LP17	pseudogene	ENSG00000241221
MTND4LP18	pseudogene	ENSG00000254747
MTND4LP19	pseudogene	ENSG00000219087
MTND4LP2	pseudogene	ENSG00000248315
MTND4LP20	pseudogene	ENSG00000220514
MTND4LP21	pseudogene	ENSG00000231582
MTND4LP22	pseudogene	ENSG00000248133
MTND4LP23	pseudogene	
MTND4LP24	pseudogene	ENSG00000262259
MTND4LP25	pseudogene	ENSG00000260067
MTND4LP26	pseudogene	ENSG00000254015
MTND4LP27	pseudogene	
MTND4LP28	pseudogene	
MTND4LP29	pseudogene	
MTND4LP3	pseudogene	ENSG00000239632
MTND4LP30	pseudogene	ENSG00000198868
MTND4LP31	pseudogene	ENSG00000248259
MTND4LP32	pseudogene	ENSG00000283481
MTND4LP4	pseudogene	
MTND4LP5	pseudogene	ENSG00000270350
MTND4LP6	pseudogene	
MTND4LP7	pseudogene	ENSG00000240791
MTND4LP8	pseudogene	
MTND4LP9	pseudogene	ENSG00000227795
MTND4P1	pseudogene	ENSG00000228597
MTND4P10	pseudogene	ENSG00000226663
MTND4P11	pseudogene	ENSG00000234099
MTND4P12	pseudogene	ENSG00000247627
MTND4P13	pseudogene	ENSG00000216713
MTND4P14	pseudogene	ENSG00000236254
MTND4P15	pseudogene	ENSG00000227321
MTND4P16	pseudogene	ENSG00000241787
MTND4P17	pseudogene	ENSG00000242178
MTND4P18	pseudogene	ENSG00000228694
MTND4P19	pseudogene	ENSG00000230338
MTND4P2	pseudogene	ENSG00000248704
MTND4P20	pseudogene	ENSG00000233377
MTND4P21	pseudogene	ENSG00000231777
MTND4P22	pseudogene	ENSG00000232772
MTND4P23	pseudogene	ENSG00000225796
MTND4P24	pseudogene	ENSG00000232177
MTND4P25	pseudogene	ENSG00000226700
MTND4P26	pseudogene	ENSG00000234065
MTND4P27	pseudogene	ENSG00000230548
MTND4P28	pseudogene	ENSG00000233709
MTND4P29	pseudogene	ENSG00000249177
MTND4P3	pseudogene	ENSG00000225959
MTND4P30	pseudogene	ENSG00000227454
MTND4P31	pseudogene	ENSG00000235382
MTND4P32	pseudogene	ENSG00000226056
MTND4P33	pseudogene	ENSG00000258762
MTND4P34	pseudogene	ENSG00000262322
MTND4P35	pseudogene	ENSG00000270906
MTND4P36	pseudogene	
MTND4P37	pseudogene	
MTND4P38	pseudogene	
MTND4P39	pseudogene	
MTND4P4	pseudogene	ENSG00000225295
MTND4P40	pseudogene	
MTND4P41	pseudogene	
MTND4P5	pseudogene	ENSG00000227584
MTND4P6	pseudogene	ENSG00000224042
MTND4P7	pseudogene	ENSG00000253257
MTND4P8	pseudogene	ENSG00000248548
MTND4P9	pseudogene	ENSG00000250050
MTND5P1	pseudogene	ENSG00000227999
MTND5P10	pseudogene	ENSG00000271687
MTND5P11	pseudogene	ENSG00000248923
MTND5P12	pseudogene	ENSG00000251544
MTND5P13	pseudogene	ENSG00000250169
MTND5P14	pseudogene	ENSG00000230225
MTND5P15	pseudogene	ENSG00000231888
MTND5P16	pseudogene	ENSG00000243658
MTND5P17	pseudogene	ENSG00000236626
MTND5P18	pseudogene	ENSG00000227860
MTND5P19	pseudogene	ENSG00000231199
MTND5P2	pseudogene	ENSG00000229622
MTND5P20	pseudogene	ENSG00000238256
MTND5P21	pseudogene	ENSG00000255123
MTND5P22	pseudogene	ENSG00000238046
MTND5P23	pseudogene	ENSG00000235080
MTND5P24	pseudogene	ENSG00000224852
MTND5P25	pseudogene	ENSG00000227348
MTND5P26	pseudogene	ENSG00000234886
MTND5P27	pseudogene	ENSG00000225045
MTND5P28	pseudogene	ENSG00000223549
MTND5P29	pseudogene	ENSG00000234934
MTND5P3	pseudogene	ENSG00000232447
MTND5P30	pseudogene	ENSG00000233039
MTND5P31	pseudogene	ENSG00000227841
MTND5P32	pseudogene	ENSG00000259379
MTND5P33	pseudogene	ENSG00000261904
MTND5P34	pseudogene	ENSG00000260147
MTND5P35	pseudogene	ENSG00000258923
MTND5P36	pseudogene	
MTND5P37	pseudogene	
MTND5P38	pseudogene	
MTND5P39	pseudogene	
MTND5P4	pseudogene	ENSG00000251212
MTND5P40	pseudogene	ENSG00000259593
MTND5P41	pseudogene	ENSG00000253685
MTND5P42	pseudogene	ENSG00000283578
MTND5P43	pseudogene	
MTND5P44	pseudogene	
MTND5P45	pseudogene	
MTND5P46	pseudogene	
MTND5P5	pseudogene	ENSG00000251149
MTND5P6	pseudogene	ENSG00000228440
MTND5P7	pseudogene	ENSG00000230531
MTND5P8	pseudogene	ENSG00000230999
MTND5P9	pseudogene	ENSG00000248748
MTND6P1	pseudogene	ENSG00000223955
MTND6P10	pseudogene	ENSG00000227275
MTND6P11	pseudogene	ENSG00000226839
MTND6P12	pseudogene	ENSG00000235039
MTND6P13	pseudogene	ENSG00000234901
MTND6P14	pseudogene	ENSG00000235638
MTND6P15	pseudogene	ENSG00000225723
MTND6P16	pseudogene	ENSG00000249893
MTND6P17	pseudogene	ENSG00000249770
MTND6P18	pseudogene	ENSG00000227714
MTND6P19	pseudogene	ENSG00000254384
MTND6P2	pseudogene	ENSG00000250389
MTND6P20	pseudogene	ENSG00000254156
MTND6P21	pseudogene	ENSG00000223431
MTND6P22	pseudogene	ENSG00000270230
MTND6P23	pseudogene	
MTND6P24	pseudogene	ENSG00000232922
MTND6P25	pseudogene	ENSG00000255316
MTND6P26	pseudogene	
MTND6P27	pseudogene	
MTND6P28	pseudogene	
MTND6P29	pseudogene	ENSG00000283311
MTND6P3	pseudogene	ENSG00000254132
MTND6P30	pseudogene	
MTND6P31	pseudogene	
MTND6P32	pseudogene	ENSG00000227649
MTND6P33	pseudogene	ENSG00000262107
MTND6P34	pseudogene	
MTND6P35	pseudogene	ENSG00000283879
MTND6P36	pseudogene	
MTND6P37	pseudogene	
MTND6P4	pseudogene	ENSG00000249119
MTND6P5	pseudogene	ENSG00000227730
MTND6P6	pseudogene	ENSG00000240034
MTND6P7	pseudogene	ENSG00000224695
MTND6P8	pseudogene	ENSG00000248136
MTND6P9	pseudogene	ENSG00000233248
MTNR1A	protein-coding gene	ENSG00000168412
MTNR1B	protein-coding gene	ENSG00000134640
MTO1	protein-coding gene	ENSG00000135297
MTOR	protein-coding gene	ENSG00000198793
MTOR-AS1	non-coding RNA	ENSG00000225602
MTPAP	protein-coding gene	ENSG00000107951
MTPN	protein-coding gene	ENSG00000105887
MTR	protein-coding gene	ENSG00000116984
MTRES1	protein-coding gene	ENSG00000130349
MTRES1P1	pseudogene	ENSG00000220181
MTREX	protein-coding gene	ENSG00000039123
MTRF1	protein-coding gene	ENSG00000120662
MTRF1L	protein-coding gene	ENSG00000112031
MTRF1LP1	pseudogene	ENSG00000256091
MTRF1LP2	pseudogene	ENSG00000224110
MTRNR2L1	protein-coding gene	ENSG00000256618
MTRNR2L10	protein-coding gene	ENSG00000256045
MTRNR2L11	other	ENSG00000270188
MTRNR2L12	other	ENSG00000269028
MTRNR2L13	other	ENSG00000270394
MTRNR2L2	other	ENSG00000271043
MTRNR2L3	protein-coding gene	ENSG00000256222
MTRNR2L4	protein-coding gene	ENSG00000232196
MTRNR2L5	protein-coding gene	ENSG00000249860
MTRNR2L6	protein-coding gene	ENSG00000270672
MTRNR2L7	protein-coding gene	ENSG00000256892
MTRNR2L8	protein-coding gene	ENSG00000255823
MTRNR2L9	other	ENSG00000255633
MTRR	protein-coding gene	ENSG00000124275
MTSS1	protein-coding gene	ENSG00000170873
MTSS2	protein-coding gene	ENSG00000132613
MTTP	protein-coding gene	ENSG00000138823
MTURN	protein-coding gene	ENSG00000180354
MTUS1	protein-coding gene	ENSG00000129422
MTUS2	protein-coding gene	ENSG00000132938
MTUS2-AS1	non-coding RNA	ENSG00000179141
MTUS2-AS2	non-coding RNA	ENSG00000236758
MTX1	protein-coding gene	ENSG00000173171
MTX1P1	pseudogene	ENSG00000236675
MTX2	protein-coding gene	ENSG00000128654
MTX3	protein-coding gene	ENSG00000177034
MUC1	protein-coding gene	ENSG00000185499
MUC12	protein-coding gene	ENSG00000205277
MUC12-AS1	non-coding RNA	ENSG00000227053
MUC13	protein-coding gene	ENSG00000173702
MUC15	protein-coding gene	ENSG00000169550
MUC16	protein-coding gene	ENSG00000181143
MUC17	protein-coding gene	ENSG00000169876
MUC19	protein-coding gene	ENSG00000205592
MUC2	protein-coding gene	ENSG00000198788
MUC20	protein-coding gene	ENSG00000176945
MUC20-OT1	non-coding RNA	ENSG00000242086
MUC20P1	pseudogene	ENSG00000224769
MUC21	protein-coding gene	ENSG00000204544
MUC22	protein-coding gene	ENSG00000261272
MUC3A	protein-coding gene	ENSG00000169894
MUC3B	protein-coding gene	
MUC4	protein-coding gene	ENSG00000145113
MUC5AC	protein-coding gene	ENSG00000215182
MUC5B	protein-coding gene	ENSG00000117983
MUC5B-AS1	non-coding RNA	ENSG00000255177
MUC6	protein-coding gene	ENSG00000184956
MUC7	protein-coding gene	ENSG00000171195
MUC8	protein-coding gene	
MUCL1	protein-coding gene	ENSG00000172551
MUCL3	protein-coding gene	ENSG00000168631
MUL1	protein-coding gene	ENSG00000090432
MUPP	pseudogene	ENSG00000237906
MUS81	protein-coding gene	ENSG00000172732
MUSK	protein-coding gene	ENSG00000030304
MUSTN1	protein-coding gene	ENSG00000272573
MUTYH	protein-coding gene	ENSG00000132781
MVB12A	protein-coding gene	ENSG00000141971
MVB12B	protein-coding gene	ENSG00000196814
MVD	protein-coding gene	ENSG00000167508
MVK	protein-coding gene	ENSG00000110921
MVP	protein-coding gene	ENSG00000013364
MX1	protein-coding gene	ENSG00000157601
MX2	protein-coding gene	ENSG00000183486
MXD1	protein-coding gene	ENSG00000059728
MXD3	protein-coding gene	ENSG00000213347
MXD4	protein-coding gene	ENSG00000123933
MXI1	protein-coding gene	ENSG00000119950
MXRA5	protein-coding gene	ENSG00000101825
MXRA5Y	pseudogene	ENSG00000235649
MXRA7	protein-coding gene	ENSG00000182534
