Gene name	Human gene name
Gtf2a1l	GTF2A1L
Ptcd3	PTCD3
	DBN1
Pdia4	PDIA4
Ctse	CTSE
Dkk2	DKK2
	DMD
Dynap	
Agmo	AGMO
Cd8a	CD8A
	HPRT1
Dcaf12l1	DCAF12L2
	OR6C1
Dhx36	DHX36
Inmt	INMT
Zdhhc9	ZDHHC9
	ZNF317
Zfp354b	ZNF354B
Col19a1	COL19A1
Slc7a14	SLC7A14
Cpsf3	CPSF3
	ACACB
Slc35a5	SLC35A5
Gm7073	CXorf66
Zglp1	ZGLP1
Sox3	SOX3
Arhgap35	ARHGAP35
Ttc33	TTC33
Gprin3	GPRIN3
	PHF3
Cip2a	CIP2A
Zfp879	ZNF879
Dapk1	DAPK1
Fras1	FRAS1
	WDR31
Tmem156	TMEM156
Hlcs	HLCS
	PTP4A1
Ank	ANKH
Rpl37	
Spta1	SPTA1
Tlx3	TLX3
Rgn	RGN
Mesd	MESD
Cds1	CDS1
Phf6	PHF6
Kctd10	KCTD10
Tjap1	TJAP1
	MLF1
Mctp2	MCTP2
Tex48	TEX48
Spata16	SPATA16
	SATB1
Ubtd2	UBTD2
Slurp2	
	RPL29
Tmem144	TMEM144
	MBD5
Mlec	MLEC
Thyn1	THYN1
	TRIP12
Gnb1l	GNB1L
Hbb-bh1	
Nosip	NOSIP
	CES5A
Gltp	GLTP
Rimbp3	RIMBP3
Rimbp3	RIMBP3C
Rimbp3	RIMBP3B
Cryba4	CRYBA4
Tmem89	TMEM89
Arsi	ARSI
Prrg1	PRRG1
Spice1	SPICE1
Trim69	TRIM69
Ribc1	RIBC1
Upp2	UPP2
Gucy1b1	GUCY1B1
Foxo1	FOXO1
Ccdc113	CCDC113
Btc	BTC
Klf8	KLF8
Ptpn12	PTPN12
Zfp267	
Lhx5	LHX5
Taf8	TAF8
	FRMPD2
Mixl1	MIXL1
	EBAG9
Smim23	SMIM23
Slc6a14	
	SGO2
Helq	HELQ
	GCSH
Sos1	SOS1
Zfp266	ZNF266
	CCNI
	SLC35G3
	SLC35G5
	SLC35G4
	SLC35G6
Mmrn1	MMRN1
Adamts2	ADAMTS2
S1pr5	S1PR5
Malsu1	MALSU1
Fnbp1l	FNBP1L
Adgrl2	ADGRL2
Synpr	SYNPR
	GNG8
Cdh8	CDH8
Lgsn	LGSN
	DTYMK
Bnc1	BNC1
Ankrd28	ANKRD28
	ANKZF1
Slc9b1	SLC9B1
Scrn1	SCRN1
	RIDA
	DPH5
Kctd12b	
	GRHL2
	MPP1
	PCYOX1L
Lpgat1	LPGAT1
Casq2	CASQ2
Lancl2	LANCL2
Spin2c	
	C11orf58
Ampd2	AMPD2
	GPR52
Wwtr1	WWTR1
Aifm1	AIFM1
Hpgds	HPGDS
Tspo2	TSPO2
Prkce	PRKCE
Fndc4	FNDC4
Ghitm	GHITM
Stk32a	STK32A
Vsig10	VSIG10
Snx27	SNX27
1810037I17Rik	C4orf3
	ARMC9
Tubb6	TUBB6
Tpte	TPTE2
Tpte	TPTE
Sdr16c5	SDR16C5
Nopchap1	NOPCHAP1
Chia1	CHIA
Eif2ak2	EIF2AK2
Ppan	PPAN
Pum2	PUM2
Gk	GK3
Gk	GK
Mroh2b	MROH2B
	ZNF330
	RPS10
	PITX2
Rps18-ps6	
Svip	SVIP
Ppp2r5a	PPP2R5A
Epcam	EPCAM
	SVIL
Stam2	STAM2
Rrp8	RRP8
Atp11b	ATP11B
Tceal7	TCEAL7
Tradd	TRADD
Sycp1	SYCP1
D1Pas1	DDX3X
Impdh1	IMPDH1
Dock10	DOCK10
Ecrg4	ECRG4
Vstm5	VSTM5
Slamf6	SLAMF6
	RNASET2
Esrrb	ESRRB
Pbdc1	PBDC1
Ndufb2	NDUFB2
Pla2g10	PLA2G10
Pde5a	PDE5A
Pds5b	PDS5B
Fzd4	FZD4
Txndc11	TXNDC11
	MRPL55
Hps3	HPS3
Arhgap30	ARHGAP30
Rbp1	RBP1
Lipg	LIPG
Siglec15	SIGLEC15
Ogdhl	OGDHL
Sertm1	SERTM1
4931406C07Rik	C11orf54
Atp11c	ATP11C
Sdccag8	SDCCAG8
Slc7a1	SLC7A1
	PRL
Timp3	TIMP3
Siglech	SIGLEC6
Siglech	CD33
Atp6v1h	ATP6V1H
Tmem19	TMEM19
Pole3	POLE3
Adgrf2	
Ndufa1	NDUFA1
Large1	LARGE1
Kcnk12	KCNK12
Azin2	AZIN2
Kbtbd6	KBTBD6
Olfml3	OLFML3
Zbtb7c	ZBTB7C
Sec22c	SEC22C
Nod1	NOD1
	SEC14L1
Clasrp	CLASRP
Slc38a5	SLC38A5
Slco5a1	SLCO5A1
Igsf9b	IGSF9B
Prob1	PROB1
Stat6	STAT6
Mcts1	MCTS1
Polr1h	POLR1H
Bcorl1	BCORL1
Cfap20dc	CFAP20DC
Cabp5	CABP5
Nipsnap3a	NIPSNAP3A
Spcs1	SPCS1
Gjd2	GJD2
Ndufa9	NDUFA9
	NDOR1
	IPO5
Msmb	MSMB
Trit1	TRIT1
Klf10	KLF10
Ippk	IPPK
	RPA3
	NDUFV1
Zfp599	
	RGS18
S1pr1	S1PR1
	FPR3
Bphl	BPHL
Ccdc148	CCDC148
Thsd1	THSD1
Coq7	COQ7
	ELAC1
Il21	IL21
Zfp131	ZNF131
Gapvd1	GAPVD1
Man1a2	MAN1A2
Usp26	USP29
	MCOLN1
Setx	SETX
Lrrc74a	LRRC74A
Gnao1	
Rasgrp3	RASGRP3
Taf3	TAF3
Smco4	SMCO4
	TAX1BP1
	LYPLA1
Sntg2	SNTG2
Robo2	ROBO2
Tbc1d20	TBC1D20
Rab38	RAB38
Barx1	BARX1
Sh3bgrl	SH3BGRL
Bhlhb9	ARMCX5-GPRASP2
Bhlhb9	GPRASP3
Cog6	COG6
Efr3b	EFR3B
Exoc3l	EXOC3L1
Fto	FTO
Ptk7	PTK7
Nacad	NACAD
Pde12	PDE12
	TMEM131
Fndc5	FNDC5
Adgrl1	ADGRL1
	HIBADH
Tbc1d2b	TBC1D2B
Adgrf1	ADGRF1
Smg1	SMG1
Arhgef3	ARHGEF3
Kirrel	KIRREL1
Lama1	LAMA1
Ntaq1	NTAQ1
Matn2	MATN2
Fzd1	FZD1
	SLC26A9
Cdh10	CDH10
Lin9	LIN9
	MAN2A2
Gm17660	
Kmo	KMO
Ndufb7	NDUFB7
Pkhd1l1	PKHD1L1
	PIN1
Acly	ACLY
Pdzd4	PDZD4
Fbxo27	FBXO27
Dennd2a	DENND2A
Spry2	SPRY2
Hs6st2	HS6ST2
Map7d3	MAP7D3
Dcun1d4	DCUN1D4
Lhx2	LHX2
Nrip1	NRIP1
Otud4	OTUD4
Ly6g6e	
Whamm	WHAMM
Npr3	NPR3
Urm1	URM1
	OPN1SW
Ccl17	CCL17
Clec3b	CLEC3B
Pls3	PLS3
	IL1R1
Wif1	WIF1
Hacd4	HACD4
Aen	AEN
Rnf41	RNF41
Prl2a1	PRL
Tepp	SPMIP8
Med17	MED17
	SNRNP25
Zdhhc21	ZDHHC21
Nxt2	NXT2
	DVL2
Tmed9	TMED9
Zdhhc15	ZDHHC15
Ndrg2	NDRG2
Gm10135	
Rcor3	RCOR3
Acin1	ACIN1
Lst1	LST1
Dao	DAO
Trib2	TRIB2
	COL15A1
Fgf18	FGF18
Smurf1	SMURF1
	CTAGE4
	CTAGE8
	CTAGE1
	CTAGE9
	CTAGE6
	MIA2
	CTAGE15
Shisa9	SHISA9
Mgat4f	
Nkd1	NKD1
Chn2	CHN2
Dgcr8	DGCR8
Cct4	CCT4
Was	WAS
Atg9b	ATG9B
Tyw3	TYW3
Sdsl	SDSL
Ssh1	SSH1
Chst10	CHST10
	CHD9
	GALT
Dnah5	DNAH5
Mpig6b	MPIG6B
Ranbp1	RANBP1
	EIF4A2
Tmem53	TMEM53
Alas2	ALAS2
Gjb5	GJB5
	ASXL1
	EIF2S1
Gm36210	C19orf85
Ppp2r2b	PPP2R2B
Ttll11	TTLL11
Ctsc	CTSC
Wdfy1	WDFY1
Nrsn2	NRSN2
Uxs1	UXS1
Pcdhgb7	PCDHGB7
Lamtor2	LAMTOR2
Eif4h	EIF4H
Kcp	KCP
Tox3	TOX3
Gspt1	GSPT1
Ddx27	DDX27
Tcof1	TCOF1
Timm8a2	TIMM8A
Akr1e1	AKR1E2
St8sia3	ST8SIA3
Ripk1	RIPK1
Eif2ak3	EIF2AK3
Chtf8	CHTF8
Ophn1	OPHN1
	SSX4B
	SSX7
	SSX2B
	SSX3
	SSX4
	SSX1
	SSX2
	SSX5
	TARS1
Ddah2	DDAH2
Tbk1	TBK1
	PIM1
Hmox1	HMOX1
Ppwd1	PPWD1
Slc35b4	SLC35B4
Plscr1	PLSCR1
Zdhhc8	ZDHHC8
Gtpbp4	GTPBP4
Rit1	RIT1
St18	ST18
Nek9	NEK9
Cdc42se1	CDC42SE1
Sdhaf4	SDHAF4
	MON2
Rdh12	RDH12
	CPN2
Egfr	EGFR
Zeb1	ZEB1
Gpm6b	GPM6B
Gtf2ird2	GTF2IRD2
Gtf2ird2	GTF2IRD2B
Mrpl52	MRPL52
	SF3B6
Rnft2	RNFT2
Cib1	CIB1
Cd36	CD36
6820408C15Rik	C20orf96
5730480H06Rik	PACRGL
Ptprk	PTPRK
Hsd17b13	HSD17B13
Dnajc28	DNAJC28
Npy2r	NPY2R
Wdr64	WDR64
	CERK
	MDM4
	TMEM14C
Zfhx3	ZFHX3
Slc19a3	SLC19A3
Scn1b	SCN1B
Ntm	NTM
Klc4	KLC4
Rbp3	RBP3
Evx1	EVX1
	GAB2
Akap3	AKAP3
Gfm1	GFM1
Dnajc14	DNAJC14
A2ml1	
Uchl1	UCHL1
Tubb1	TUBB1
Ptpro	PTPRO
	RNF220
Magec2	MAGEA10
Fer1l5	FER1L5
Gpr75	GPR75
Myh4	
	NDUFAB1
St6galnac5	ST6GALNAC5
Zcchc12	ZCCHC18
Zcchc12	ZCCHC12
Slc39a2	SLC39A2
Pcca	PCCA
Nceh1	NCEH1
Zfp706	ZNF706
Ube2t	UBE2T
Pate4	PATE4
	GON4L
	YY1AP1
Anp32a	ANP32D
Anp32a	ANP32A
Nmd3	NMD3
Mcemp1	MCEMP1
Phaf1	PHAF1
Mstn	MSTN
Tnr	TNR
Prl7d1	PRL
Slc9b2	SLC9B2
Alad	ALAD
Rab17	RAB17
Hbb-y	HBE1
Mpo	MPO
	ISCA1
	NLRP4
Ktn1	KTN1
Dnpep	DNPEP
Apold1	APOLD1
	ATP5PD
Adgre1	ADGRE1
Rarb	RARB
	RUBCNL
Ctnnbl1	CTNNBL1
Vti1b	VTI1B
Ctif	CTIF
Idh3g	IDH3G
Nr0b1	NR0B1
Mrps31	MRPS31
Ctsv	CTSV
Hdhd5	HDHD5
	MTHFS
Ptbp3	PTBP3
Col8a2	COL8A2
Abhd5	ABHD5
	OR8B12
Ppp3cc	PPP3CC
Hoxa9	HOXA9
	RTN2
Pik3cg	PIK3CG
Ly6g6g	
Kcnn3	KCNN3
Dmap1	DMAP1
Srek1ip1	SREK1IP1
Ccdc60	CCDC60
Slc31a1	SLC31A1
Btnl9	BTNL9
Usp44	USP44
	PREX2
	TLCD4
Tab3	TAB3
Fabp6	FABP6
Rnf5	RNF5
	RHOT2
Trat1	TRAT1
Dtnbp1	DTNBP1
	VLDLR
Lactb	LACTB
Ctsz	CTSZ
Grk5	GRK5
Brd7	BRD7
	CHCT1
Ccdc160	CCDC160
Timm17a	TIMM17A
Ptpn13	PTPN13
Fam234b	FAM234B
Bri3	BRI3
Ash1l	ASH1L
4930503L19Rik	C18orf54
Clvs2	CLVS2
Klf3	KLF3
Ppcs	PPCS
Slc49a4	SLC49A4
Magee1	MAGEE1
Prune1	PRUNE1
Mrpl48	MRPL48
Thnsl2	THNSL2
Eef1akmt1	EEF1AKMT1
Szt2	SZT2
Catsper3	CATSPER3
Slc17a7	SLC17A7
Hao2	HAO2
Serpinb8	SERPINB8
Zfp654	ZNF654
	CBR1
	OTUB1
Popdc3	POPDC3
Ercc2	ERCC2
Mpz	MPZ
Sesn2	SESN2
Xpo7	XPO7
Smpd3	SMPD3
Mep1b	MEP1B
	EEF1D
Matn3	MATN3
Abca2	ABCA2
	CINP
Zfp354a	ZNF354A
Cfl2	CFL2
Mboat7	MBOAT7
Hnrnpc	
	ALG14
Crybb1	CRYBB1
Gpr101	GPR101
Sult6b1	SULT6B1
Terf2	TERF2
Prss30	
Egr3	EGR3
Pgm3	PGM3
Barhl1	BARHL1
Adck2	ADCK2
Ddx11	DDX11
Tmem268	TMEM268
Ptprr	PTPRR
Gfpt2	GFPT2
Fbxl22	FBXL22
Dbp	DBP
Cachd1	CACHD1
Cd163	CD163
Pde10a	PDE10A
Ank1	ANK1
Cnot9	CNOT9
Dcp1b	DCP1B
Jam3	JAM3
Zbtb38	ZBTB38
Mon1b	MON1B
St3gal1	ST3GAL1
Nprl3	NPRL3
Brf1	BRF1
	NAT8
	NAT8B
Hycc1	HYCC1
Ctxn1	CTXN1
Rhog	RHOG
Prss56	PRSS56
	NIP7
St8sia2	ST8SIA2
Mmp27	MMP27
	POLR2C
Swi5	SWI5
Ccl5	CCL5
	RPL28
Pias1	PIAS1
Pbk	PBK
Avpr1b	AVPR1B
Kcns1	KCNS1
	EIF4E1B
Btbd7	BTBD7
Ncald	NCALD
Lrpap1	LRPAP1
Gm136	C6orf163
Reg2	REG1A
	CYCS
Scmh1	SCMH1
Alkbh7	ALKBH7
	CHD2
Pcdhga10	PCDHGA10
Zbtb6	ZBTB6
Henmt1	HENMT1
Zbtb41	ZBTB41
Pgm1	PGM1
Cdh16	CDH16
Tie1	TIE1
Fnip2	FNIP2
Gpc3	GPC3
Prl7a2	PRL
Crybg2	CRYBG2
Insig1	INSIG1
Rasal2	RASAL2
Diaph2	DIAPH2
Haus3	HAUS3
Mrpl10	MRPL10
Themis2	THEMIS2
Urgcp	URGCP
Pakap	PALM2AKAP2
Fbxo5	FBXO5
Snrpe	SNRPE
Samsn1	SAMSN1
Kcne2	KCNE2
Limd1	LIMD1
Nudt21	NUDT21
	DEFB118
Tac1	TAC1
Agtr2	AGTR2
	CRELD1
Asprv1	ASPRV1
Fam98a	FAM98A
	MR1
Gpr180	GPR180
Vopp1	VOPP1
Ccr5	CCR5
Cdh26	CDH26
	MLH3
Exoc1	EXOC1
Frg1	FRG1
Frg1	
Tspan5	TSPAN5
Tmed7	TMED7
Traf3ip3	TRAF3IP3
Kif2a	KIF2A
S100pbp	S100PBP
Mtmr9	MTMR9
Lrat	LRAT
Pbx4	PBX4
Dlg3	DLG3
Helz2	HELZ2
Dusp6	DUSP6
Dsn1	DSN1
H2-DMa	HLA-DMA
Ghr	GHR
Tnip2	TNIP2
Dlst	DLST
Grik1	GRIK1
Abcg5	ABCG5
	CEACAM3
	PSG4
	CEACAM6
	PSG5
	PSG9
	PSG2
	CEACAM5
	CEACAM7
	PSG11
	PSG1
	PSG3
	CEACAM1
	PSG6
	PSG8
	CEACAM8
	PSG7
Gphn	GPHN
Mybphl	MYBPHL
	SLC25A23
Hsf4	HSF4
	TUBA3E
	TUBA3C
	TUBA3D
Clcnkb	CLCNKB
Clcnkb	CLCNKA
Nqo2	NQO2
Adgrf5	ADGRF5
Bdh1	BDH1
Ylpm1	YLPM1
Rflna	RFLNA
Tmem245	TMEM245
Nexmif	NEXMIF
	KPTN
Emc10	EMC10
Ppp1r21	PPP1R21
Pkia	PKIA
Atg16l1	ATG16L1
Ccdc120	CCDC120
Rab7b	RAB7B
Pgf	PGF
Or7g16	OR7G2
	CHD4
Tmem160	TMEM160
Prss54	PRSS54
AW551984	VWA5A
Bmp1	BMP1
Thap12	
Traf2	TRAF2
Tmem135	TMEM135
	MBP
Thada	THADA
Gnai1	GNAI1
Rmnd5a	RMND5A
Inip	INIP
Prss57	PRSS57
Tmem127	TMEM127
Slc8b1	SLC8B1
Ankhd1	ANKHD1
	POLE
Wdr46	WDR46
	OR51B6
E2f1	E2F1
Pdcd1	PDCD1
Bcl2l14	BCL2L14
Ralgapa2	RALGAPA2
Acadm	ACADM
Evc	EVC
Omg	OMG
Fzr1	FZR1
Hdx	HDX
Hopx	HOPX
Elavl1	ELAVL1
Dsc1	DSC1
	RB1CC1
Tpk1	TPK1
Pafah1b1	PAFAH1B1
Havcr2	HAVCR2
Myo5b	MYO5B
Ctnna2	CTNNA2
Sertad4	SERTAD4
Myf5	MYF5
Krt24	KRT24
Ehbp1	EHBP1
Stk33	STK33
Wbp11	
A830018L16Rik	C8orf34
Arhgef9	ARHGEF9
Fgb	FGB
Bsph1	BSPH1
Sytl4	SYTL4
Gpc4	GPC4
Or10a3	OR10A3
Zfp710	
Kif26b	KIF26B
T	TBXT
Carmil1	CARMIL1
Ubqln5	
Dda1	DDA1
Rnmt	RNMT
Dut	DUT
Crtc2	CRTC2
Taf4b	TAF4B
	ITGB1
Sema3g	SEMA3G
	SULT2A1
Cstf2	CSTF2
	NAPG
Rac3	RAC3
Pla2g2d	PLA2G2D
Serpinb12	SERPINB12
	SECTM1
Ush1c	USH1C
Tmem167	TMEM167A
Zfr	ZFR
Alb	ALB
Lrrc8b	LRRC8B
Grhl3	GRHL3
Cdk5rap1	CDK5RAP1
Pycr1	PYCR1
Tspan33	TSPAN33
Il36b	IL36B
Mbnl3	MBNL3
Tmem60	TMEM60
Nelfcd	NELFCD
	PKM
	UQCC6
Cage1	CAGE1
9430015G10Rik	C1orf159
Dpagt1	DPAGT1
Cdkn1a	CDKN1A
Cggbp1	CGGBP1
Adh4	ADH4
	NOVA1
	RNF146
Ubl5	UBL5
Washc1	WASHC1
Washc1	WASH6P
Fosb	FOSB
Chd7	CHD7
Polr2i	POLR2I
Sema3a	SEMA3A
	KIAA2012
Prkaa1	PRKAA1
Tnfsf11	TNFSF11
Ager	AGER
Ccser1	CCSER1
Patl2	PATL2
Itch	ITCH
Etnk2	ETNK2
Zfp523	ZNF76
Ttc39c	TTC39C
Txnrd2	TXNRD2
Serpine2	SERPINE2
Hoxa7	HOXA7
	FN3K
Hoxa13	HOXA13
Nat14	NAT14
Ubxn11	UBXN11
Camk1g	CAMK1G
	SERPINA3
	DNAAF6
Uprt	UPRT
	ABCC3
Clu	CLU
	STAG3
Cd84	CD84
Svil	
	SPACDR
Smarcc2	SMARCC2
	SCNN1A
Lcn10	LCN10
Prss47	
Rgr	RGR
Adcy4	ADCY4
Phkg1	PHKG1
Prl2b1	PRL
Nrtn	NRTN
Tpo	TPO
Ephb4	EPHB4
Tmem67	TMEM67
Rpl22	RPL22
Aamdc	AAMDC
Tlr2	TLR2
Fli1	FLI1
Csnk1a1	CSNK1A1
Ptpn3	PTPN3
Stam	STAM
Prss41	PRSS41
Pou2af3	POU2AF3
Hoxa11	HOXA11
Fcnb	FCN1
Eif5	EIF5
Igsf10	IGSF10
	TM4SF4
	PTPRH
Abcb7	ABCB7
	VDAC1
Fhad1	FHAD1
Trem1	TREM1
Vil1	VIL1
	PM20D1
	TRHDE
Fam20b	FAM20B
	TCP1
Sptssb	SPTSSB
Zkscan14	ZNF394
	CD200R1
	CD200R1L
Adsl	ADSL
Pole2	POLE2
Ctnnb1	CTNNB1
Hbs1l	HBS1L
	SLC9A1
Cic	CIC
Nes	NES
Tonsl	TONSL
Cplane1	CPLANE1
Npas3	NPAS3
Mtdh	MTDH
Rad21l	RAD21L1
Il1rapl1	IL1RAPL1
Faah	FAAH
Ppp1r15b	PPP1R15B
	E2F4
Scn4b	SCN4B
	HMSD
Tram2	TRAM2
Zbp1	ZBP1
Ampd1	AMPD1
Cep192	CEP192
Avpr2	AVPR2
Vwc2	VWC2
Crbn	CRBN
Amot	AMOT
Rnf121	RNF121
Slc44a5	SLC44A5
Gsap	GSAP
	KIF14
Marco	MARCO
1700020L24Rik	C17orf50
Olfm1	OLFM1
Alkal1	ALKAL1
Sh2d4a	SH2D4A
Usp53	USP53
Pigh	PIGH
Zbtb26	ZBTB26
Marveld3	
Plec	PLEC
Sstr2	SSTR2
	PER3
Mab21l4	MAB21L4
Hoxa10	HOXA10
Ssbp3	SSBP3
	CABLES2
Plcd4	PLCD4
Epb41l2	EPB41L2
Ppp1r13b	PPP1R13B
Hoxa3	HOXA3
Meis1	MEIS1
Tcn2	TCN2
	RCCD1
Rbm22	RBM22
Erp44	ERP44
B3galnt1	B3GALNT1
Tmem33	TMEM33
Actn4	ACTN4
Tmem177	TMEM177
	GPM6A
Ada	ADA
Elof1	ELOF1
Gng14	
Mpv17l2	MPV17L2
Gadd45gip1	GADD45GIP1
Arhgef5	ARHGEF5
Efhd2	EFHD2
Tmem179	TMEM179
Cnpy2	CNPY2
Rab39	RAB39A
Lta4h	LTA4H
Ruvbl1	RUVBL1
Tyr	TYR
Lynx1	LYNX1
Tinagl1	TINAGL1
Plscr5	PLSCR5
Homez	HOMEZ
Mpdu1	MPDU1
Cdkn2d	CDKN2D
Aox2	
	CPNE4
Rbp2	RBP2
Hoxa6	HOXA6
	YKT6
Rwdd4a	RWDD4
Gtdc1	GTDC1
Zfp354c	ZNF354C
Aldh1a3	ALDH1A3
	PYURF
Atp8b2	ATP8B2
Mtbp	MTBP
	SLC4A4
Pmepa1	PMEPA1
	SLC16A4
Nav1	NAV1
Sparcl1	SPARCL1
Fyb	FYB1
Usp30	USP30
Mkrn1	MKRN1
Zdhhc20	ZDHHC20
Vcp	VCP
	ANK2
Necab2	NECAB2
Fxr1	FXR1
Ddr2	DDR2
Grm5	GRM5
Cbll1	CBLL1
Tdrd6	TDRD6
Ptpdc1	PTPDC1
Myrfl	MYRFL
Myo5a	MYO5A
Pxylp1	PXYLP1
Cilk1	CILK1
Trpc4	TRPC4
Wdr25	WDR25
Lrrc42	LRRC42
Fam161b	FAM161B
Taf5l	TAF5L
Nphp4	NPHP4
Rnf44	RNF44
Cenpi	CENPI
Rap2c	RAP2C
Trak2	TRAK2
Gkn1	GKN1
Hbegf	HBEGF
Mex3b	MEX3B
Kics2	KICS2
Ift74	IFT74
Prkch	PRKCH
Adh5	ADH5
Tbrg1	TBRG1
	EPC2
Supt7l	SUPT7L
Abcb11	ABCB11
Stab1	STAB1
	CCDC188
Prr30	PRR30
Zg16	ZG16
Or10d1c	
Tm4sf1	TM4SF1
	TRIM34
Ppip5k1	PPIP5K1
	C1R
Tsks	TSKS
Atp6ap1l	
Mettl15	METTL15
Npdc1	NPDC1
Plcd3	PLCD3
Srp72	SRP72
Crlf3	CRLF3
Cdk20	CDK20
Asap2	ASAP2
Lpcat3	LPCAT3
Zmynd19	ZMYND19
	CEP170
Enpp3	ENPP3
Tcerg1	TCERG1
Tasl	TASL
Dbndd2	DBNDD2
Bves	BVES
Ssr1	SSR1
Odf2l	ODF2L
Bdkrb2	BDKRB2
Fam222b	FAM222B
Knstrn	KNSTRN
Steap2	STEAP2
	COL9A3
Cebpzos	CEBPZOS
	CCDC200
Apbb1	APBB1
Icam5	ICAM5
Gas2l2	GAS2L2
Extl2	EXTL2
Dtwd2	DTWD2
Zfp839	ZNF839
Slamf1	SLAMF1
Mmp13	MMP13
	NOX4
Ankrd29	ANKRD29
Tmcc3	TMCC3
Gpr157	GPR157
Efnb2	EFNB2
Elovl5	ELOVL5
Rai1	RAI1
Wdr12	WDR12
	CYP2A6
	CYP2A7
	CYP2A13
Slc36a4	SLC36A4
Tedc2	TEDC2
Adam24	
Rfesd	RFESD
Phka2	PHKA2
Ythdc1	YTHDC1
Zfp169	ZNF169
Zfyve9	ZFYVE9
Ackr3	ACKR3
Naglu	NAGLU
Frmd7	FRMD7
Jade3	JADE3
	PABPC4
Erh	ERH
Entpd6	ENTPD6
	KDM4C
Vcpkmt	VCPKMT
Plcg1	PLCG1
Ppp4r3a	PPP4R3A
Tas1r3	TAS1R3
Ugt2a3	UGT2A3
Gnat2	GNAT2
	SCN7A
Airim	AIRIM
Mlc1	MLC1
Med13l	MED13L
Prkcg	PRKCG
Pglyrp3	PGLYRP3
	ATP6V1G1
Pkd1l3	PKD1L3
Disc1	DISC1
C2cd4a	
	RTN4
	MAGEB6B
	MAGEB6
Pik3cd	PIK3CD
Ndp	NDP
Dok6	DOK6
Tollip	TOLLIP
Traf5	TRAF5
Tbcc	TBCC
Znhit1	ZNHIT1
Fbh1	FBH1
Dnajc18	DNAJC18
Cdh4	CDH4
Glra1	GLRA1
	MOSPD2
Ide	IDE
	PCED1B
Lbx2	LBX2
Srgap2	SRGAP2
Srgap2	SRGAP2B
Srgap2	SRGAP2C
Ushbp1	USHBP1
	JAKMIP1
Mast1	MAST1
Il17re	IL17RE
Gmeb2	GMEB2
Or10j5	OR10J5
	SEPTIN14
0610040J01Rik	C4orf19
Sec16b	SEC16B
Cyld	CYLD
	MNDA
Kif11	KIF11
Cdc16	CDC16
Trim2	TRIM2
	CFAP74
Gabre	GABRE
Nhlh1	NHLH1
Aplnr	APLNR
Ankrd45	ANKRD45
5S_rRNA	
	ARL13A
Stoml2	STOML2
Rps6ka6	RPS6KA6
Rnpc3	RNPC3
Or5m5	
	IDH1
Rilpl1	RILPL1
Cse1l	CSE1L
	CLEC2D
Adk	ADK
Rpl10l	RPL10L
Ing3	ING3
Or5j3	OR5J2
Pwwp2b	PWWP2B
Siah1b	SIAH1
Rgl1	RGL1
Zbtb17	ZBTB17
C8b	C8B
Id1	ID1
Krt19	KRT19
D3Ertd751e	C4orf33
Retreg2	RETREG2
Lct	LCT
