,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2,PathwayExtra Ligand,PathwayExtra Receptor,KinaseExtra Ligand,KinaseExtra Receptor,Receptor-TF-intersection,Receptor-TF-combined,Ligand-TF-intersection,Ligand-TF-combined
WNT9A_FZD3_LRP5,WNT9A_FZD3_LRP5,WNT,Wnt9a,FZD3_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9a  - (Fzd3+Lrp5),,Ctnnb1,,,,Ctnnb1,,
WNT9A_FZD4_LRP5,WNT9A_FZD4_LRP5,WNT,Wnt9a,FZD4_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9a  - (Fzd4+Lrp5),,Ctnnb1_Myc,,,,Ctnnb1_Myc,,
WNT9A_FZD5_LRP5,WNT9A_FZD5_LRP5,WNT,Wnt9a,FZD5_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9a  - (Fzd5+Lrp5),,Ctnnb1_Myc,,,,Ctnnb1_Myc,,
WNT9A_FZD6_LRP5,WNT9A_FZD6_LRP5,WNT,Wnt9a,FZD6_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9a  - (Fzd6+Lrp5),,Ctnnb1,,,,Ctnnb1,,
WNT9A_FZD7_LRP5,WNT9A_FZD7_LRP5,WNT,Wnt9a,FZD7_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9a  - (Fzd7+Lrp5),,Ctnnb1,,,,Ctnnb1,,
WNT9A_FZD8_LRP5,WNT9A_FZD8_LRP5,WNT,Wnt9a,FZD8_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9a  - (Fzd8+Lrp5),,,,,,,,
WNT9A_FZD9_LRP5,WNT9A_FZD9_LRP5,WNT,Wnt9a,FZD9_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9a  - (Fzd9+Lrp5),,,,,,,,
WNT9B_FZD1_LRP5,WNT9B_FZD1_LRP5,WNT,Wnt9b,FZD1_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9b  - (Fzd1+Lrp5),Ctnnb1,Ctnnb1_Myc,,,,Ctnnb1_Myc,,Ctnnb1
WNT9B_FZD10_LRP5,WNT9B_FZD10_LRP5,WNT,Wnt9b,FZD10_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9b  - (Fzd10+Lrp5),Ctnnb1,,,,,,,Ctnnb1
WNT9B_FZD2_LRP5,WNT9B_FZD2_LRP5,WNT,Wnt9b,FZD2_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9b  - (Fzd2+Lrp5),Ctnnb1,Ctnnb1_Myc,,,,Ctnnb1_Myc,,Ctnnb1
WNT9B_FZD3_LRP5,WNT9B_FZD3_LRP5,WNT,Wnt9b,FZD3_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9b  - (Fzd3+Lrp5),Ctnnb1,Ctnnb1,,,,Ctnnb1,,Ctnnb1
WNT9B_FZD4_LRP5,WNT9B_FZD4_LRP5,WNT,Wnt9b,FZD4_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9b  - (Fzd4+Lrp5),Ctnnb1,Ctnnb1_Myc,,,,Ctnnb1_Myc,,Ctnnb1
WNT9B_FZD5_LRP5,WNT9B_FZD5_LRP5,WNT,Wnt9b,FZD5_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9b  - (Fzd5+Lrp5),Ctnnb1,Ctnnb1_Myc,,,,Ctnnb1_Myc,,Ctnnb1
WNT9B_FZD6_LRP5,WNT9B_FZD6_LRP5,WNT,Wnt9b,FZD6_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9b  - (Fzd6+Lrp5),Ctnnb1,Ctnnb1,,,,Ctnnb1,,Ctnnb1
WNT9B_FZD7_LRP5,WNT9B_FZD7_LRP5,WNT,Wnt9b,FZD7_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9b  - (Fzd7+Lrp5),Ctnnb1,Ctnnb1,,,,Ctnnb1,,Ctnnb1
WNT9B_FZD8_LRP5,WNT9B_FZD8_LRP5,WNT,Wnt9b,FZD8_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9b  - (Fzd8+Lrp5),Ctnnb1,,,,,,,Ctnnb1
WNT9B_FZD9_LRP5,WNT9B_FZD9_LRP5,WNT,Wnt9b,FZD9_LRP5,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt9b  - (Fzd9+Lrp5),Ctnnb1,,,,,,,Ctnnb1
WNT1_FZD1_LRP6,WNT1_FZD1_LRP6,WNT,Wnt1,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt1  - (Fzd1+Lrp6),Nfatc4_Prkaa2_Nr2c2_Nfkb1_Smad3_Ctnnb1_Prkaa1,Ctnnb1_Myc,Ctnnb1_Bad,Ctnnb1,Ctnnb1,Ctnnb1_Myc,Ctnnb1,Bad_Ctnnb1_Nfatc4_Nfkb1_Nr2c2_Prkaa1_Prkaa2_Smad3
WNT1_FZD10_LRP6,WNT1_FZD10_LRP6,WNT,Wnt1,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt1  - (Fzd10+Lrp6),Nfatc4_Prkaa2_Nr2c2_Nfkb1_Smad3_Ctnnb1_Prkaa1,Ctnnb1,Ctnnb1_Bad,Ctnnb1,Ctnnb1,Ctnnb1,Ctnnb1,Bad_Ctnnb1_Nfatc4_Nfkb1_Nr2c2_Prkaa1_Prkaa2_Smad3
WNT1_FZD2_LRP6,WNT1_FZD2_LRP6,WNT,Wnt1,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt1  - (Fzd2+Lrp6),Nfatc4_Prkaa2_Nr2c2_Nfkb1_Smad3_Ctnnb1_Prkaa1,Ctnnb1_Myc,Ctnnb1_Bad,Ctnnb1,Ctnnb1,Ctnnb1_Myc,Ctnnb1,Bad_Ctnnb1_Nfatc4_Nfkb1_Nr2c2_Prkaa1_Prkaa2_Smad3
WNT1_FZD3_LRP6,WNT1_FZD3_LRP6,WNT,Wnt1,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt1  - (Fzd3+Lrp6),Nfatc4_Prkaa2_Nr2c2_Nfkb1_Smad3_Ctnnb1_Prkaa1,Ctnnb1,Ctnnb1_Bad,Ctnnb1,Ctnnb1,Ctnnb1,Ctnnb1,Bad_Ctnnb1_Nfatc4_Nfkb1_Nr2c2_Prkaa1_Prkaa2_Smad3
WNT1_FZD4_LRP6,WNT1_FZD4_LRP6,WNT,Wnt1,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt1  - (Fzd4+Lrp6),Nfatc4_Prkaa2_Nr2c2_Nfkb1_Smad3_Ctnnb1_Prkaa1,Ctnnb1_Myc,Ctnnb1_Bad,Ctnnb1,Ctnnb1,Ctnnb1_Myc,Ctnnb1,Bad_Ctnnb1_Nfatc4_Nfkb1_Nr2c2_Prkaa1_Prkaa2_Smad3
WNT1_FZD5_LRP6,WNT1_FZD5_LRP6,WNT,Wnt1,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt1  - (Fzd5+Lrp6),Nfatc4_Prkaa2_Nr2c2_Nfkb1_Smad3_Ctnnb1_Prkaa1,Ctnnb1_Myc,Ctnnb1_Bad,Ctnnb1,Ctnnb1,Ctnnb1_Myc,Ctnnb1,Bad_Ctnnb1_Nfatc4_Nfkb1_Nr2c2_Prkaa1_Prkaa2_Smad3
WNT1_FZD6_LRP6,WNT1_FZD6_LRP6,WNT,Wnt1,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt1  - (Fzd6+Lrp6),Nfatc4_Prkaa2_Nr2c2_Nfkb1_Smad3_Ctnnb1_Prkaa1,Ctnnb1,Ctnnb1_Bad,Ctnnb1,Ctnnb1,Ctnnb1,Ctnnb1,Bad_Ctnnb1_Nfatc4_Nfkb1_Nr2c2_Prkaa1_Prkaa2_Smad3
WNT1_FZD7_LRP6,WNT1_FZD7_LRP6,WNT,Wnt1,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt1  - (Fzd7+Lrp6),Nfatc4_Prkaa2_Nr2c2_Nfkb1_Smad3_Ctnnb1_Prkaa1,Ctnnb1,Ctnnb1_Bad,Ctnnb1,Ctnnb1,Ctnnb1,Ctnnb1,Bad_Ctnnb1_Nfatc4_Nfkb1_Nr2c2_Prkaa1_Prkaa2_Smad3
WNT1_FZD8_LRP6,WNT1_FZD8_LRP6,WNT,Wnt1,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt1  - (Fzd8+Lrp6),Nfatc4_Prkaa2_Nr2c2_Nfkb1_Smad3_Ctnnb1_Prkaa1,Ctnnb1,Ctnnb1_Bad,Ctnnb1,Ctnnb1,Ctnnb1,Ctnnb1,Bad_Ctnnb1_Nfatc4_Nfkb1_Nr2c2_Prkaa1_Prkaa2_Smad3
WNT1_FZD9_LRP6,WNT1_FZD9_LRP6,WNT,Wnt1,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt1  - (Fzd9+Lrp6),Nfatc4_Prkaa2_Nr2c2_Nfkb1_Smad3_Ctnnb1_Prkaa1,Ctnnb1,Ctnnb1_Bad,Ctnnb1,Ctnnb1,Ctnnb1,Ctnnb1,Bad_Ctnnb1_Nfatc4_Nfkb1_Nr2c2_Prkaa1_Prkaa2_Smad3
WNT10A_FZD1_LRP6,WNT10A_FZD1_LRP6,WNT,Wnt10a,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10a  - (Fzd1+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT10A_FZD10_LRP6,WNT10A_FZD10_LRP6,WNT,Wnt10a,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10a  - (Fzd10+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT10A_FZD2_LRP6,WNT10A_FZD2_LRP6,WNT,Wnt10a,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10a  - (Fzd2+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT10A_FZD3_LRP6,WNT10A_FZD3_LRP6,WNT,Wnt10a,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10a  - (Fzd3+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT10A_FZD4_LRP6,WNT10A_FZD4_LRP6,WNT,Wnt10a,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10a  - (Fzd4+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT10A_FZD5_LRP6,WNT10A_FZD5_LRP6,WNT,Wnt10a,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10a  - (Fzd5+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT10A_FZD6_LRP6,WNT10A_FZD6_LRP6,WNT,Wnt10a,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10a  - (Fzd6+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT10A_FZD7_LRP6,WNT10A_FZD7_LRP6,WNT,Wnt10a,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10a  - (Fzd7+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT10A_FZD8_LRP6,WNT10A_FZD8_LRP6,WNT,Wnt10a,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10a  - (Fzd8+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT10A_FZD9_LRP6,WNT10A_FZD9_LRP6,WNT,Wnt10a,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10a  - (Fzd9+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT10B_FZD1_LRP6,WNT10B_FZD1_LRP6,WNT,Wnt10b,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10b  - (Fzd1+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT10B_FZD10_LRP6,WNT10B_FZD10_LRP6,WNT,Wnt10b,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10b  - (Fzd10+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT10B_FZD2_LRP6,WNT10B_FZD2_LRP6,WNT,Wnt10b,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10b  - (Fzd2+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT10B_FZD3_LRP6,WNT10B_FZD3_LRP6,WNT,Wnt10b,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10b  - (Fzd3+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT10B_FZD4_LRP6,WNT10B_FZD4_LRP6,WNT,Wnt10b,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10b  - (Fzd4+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT10B_FZD5_LRP6,WNT10B_FZD5_LRP6,WNT,Wnt10b,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10b  - (Fzd5+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT10B_FZD6_LRP6,WNT10B_FZD6_LRP6,WNT,Wnt10b,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10b  - (Fzd6+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT10B_FZD7_LRP6,WNT10B_FZD7_LRP6,WNT,Wnt10b,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10b  - (Fzd7+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT10B_FZD8_LRP6,WNT10B_FZD8_LRP6,WNT,Wnt10b,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10b  - (Fzd8+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT10B_FZD9_LRP6,WNT10B_FZD9_LRP6,WNT,Wnt10b,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt10b  - (Fzd9+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT16_FZD1_LRP6,WNT16_FZD1_LRP6,WNT,Wnt16,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt16  - (Fzd1+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT16_FZD10_LRP6,WNT16_FZD10_LRP6,WNT,Wnt16,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt16  - (Fzd10+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT16_FZD2_LRP6,WNT16_FZD2_LRP6,WNT,Wnt16,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt16  - (Fzd2+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT16_FZD3_LRP6,WNT16_FZD3_LRP6,WNT,Wnt16,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt16  - (Fzd3+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT16_FZD4_LRP6,WNT16_FZD4_LRP6,WNT,Wnt16,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt16  - (Fzd4+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT16_FZD5_LRP6,WNT16_FZD5_LRP6,WNT,Wnt16,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt16  - (Fzd5+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT16_FZD6_LRP6,WNT16_FZD6_LRP6,WNT,Wnt16,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt16  - (Fzd6+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT16_FZD7_LRP6,WNT16_FZD7_LRP6,WNT,Wnt16,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt16  - (Fzd7+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT16_FZD8_LRP6,WNT16_FZD8_LRP6,WNT,Wnt16,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt16  - (Fzd8+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT16_FZD9_LRP6,WNT16_FZD9_LRP6,WNT,Wnt16,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt16  - (Fzd9+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT2_FZD1_LRP6,WNT2_FZD1_LRP6,WNT,Wnt2,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt2  - (Fzd1+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT2_FZD10_LRP6,WNT2_FZD10_LRP6,WNT,Wnt2,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt2  - (Fzd10+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT2_FZD2_LRP6,WNT2_FZD2_LRP6,WNT,Wnt2,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt2  - (Fzd2+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT2_FZD3_LRP6,WNT2_FZD3_LRP6,WNT,Wnt2,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt2  - (Fzd3+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT2_FZD4_LRP6,WNT2_FZD4_LRP6,WNT,Wnt2,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt2  - (Fzd4+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT2_FZD5_LRP6,WNT2_FZD5_LRP6,WNT,Wnt2,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt2  - (Fzd5+Lrp6),Ctnnb1,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,Ctnnb1
WNT2_FZD6_LRP6,WNT2_FZD6_LRP6,WNT,Wnt2,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt2  - (Fzd6+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT2_FZD7_LRP6,WNT2_FZD7_LRP6,WNT,Wnt2,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt2  - (Fzd7+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT2_FZD8_LRP6,WNT2_FZD8_LRP6,WNT,Wnt2,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt2  - (Fzd8+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT2_FZD9_LRP6,WNT2_FZD9_LRP6,WNT,Wnt2,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt2  - (Fzd9+Lrp6),Ctnnb1,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,Ctnnb1
WNT2B_FZD1_LRP6,WNT2B_FZD1_LRP6,WNT,Wnt2b,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt2b  - (Fzd1+Lrp6),,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,
WNT2B_FZD10_LRP6,WNT2B_FZD10_LRP6,WNT,Wnt2b,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt2b  - (Fzd10+Lrp6),,Ctnnb1,,Ctnnb1,Ctnnb1,Ctnnb1,,
WNT2B_FZD2_LRP6,WNT2B_FZD2_LRP6,WNT,Wnt2b,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling,Wnt2b  - (Fzd2+Lrp6),,Ctnnb1_Myc,,Ctnnb1,Ctnnb1,Ctnnb1_Myc,,
